"forecast_dt","India_active","India_active_low","India_active_up","India_confirm","India_confirm_low","India_confirm_up","India_death","India_death_low","India_death_up"
2020-11-29,1088313,480759,1927301,10809681,8327656,13751449,166032,134063,201877
2020-11-30,1102169,480909,1965432,10912294,8376132,13934503,167547,134889,204350
2020-12-01,1116102,481454,1998461,11016197,8420074,14117791,169083,135631,206915
2020-12-02,1130404,481437,2040740,11121154,8467239,14319138,170632,136437,209628
2020-12-03,1144905,480170,2080181,11227825,8516857,14511493,172205,137307,212238
2020-12-04,1159649,481629,2123303,11336367,8560700,14709368,173806,138031,214878
2020-12-05,1174677,482278,2163721,11445320,8609169,14909274,175410,138848,217599
2020-12-06,1189814,483172,2205774,11556581,8650093,15112227,177051,139532,220345
2020-12-07,1205091,483271,2249493,11669161,8704007,15328710,178713,140452,223292
2020-12-08,1220640,485603,2290280,11783371,8751359,15539006,180397,141221,226184
2020-12-09,1236154,486515,2336833,11897894,8801151,15757971,182088,142057,229127
2020-12-10,1252160,485140,2379897,12014389,8839255,15982426,183804,142731,232222
2020-12-11,1268221,487741,2423419,12132557,8891187,16193406,185546,143574,235079
2020-12-12,1284728,488046,2473104,12251921,8939950,16439590,187303,144403,238431
2020-12-13,1301413,488106,2518362,12372797,8986858,16673047,189082,145203,241643
2020-12-14,1318165,488901,2568501,12495626,9031027,16912375,190893,145945,244871
2020-12-15,1335113,488059,2616810,12620044,9078517,17168089,192728,146770,248411
2020-12-16,1352481,490113,2667618,12746114,9123013,17413892,194584,147495,251738
2020-12-17,1370013,491540,2716687,12873794,9172286,17666812,196464,148313,255216
2020-12-18,1388054,493163,2768231,13003873,9231103,17927165,198378,149291,258780
2020-12-19,1406137,492065,2819300,13135358,9275217,18196928,200314,150063,262512
2020-12-20,1424389,495147,2875326,13268415,9320639,18476068,202274,150787,266318
2020-12-21,1442786,496128,2927906,13402829,9368125,18748180,204255,151582,270065
2020-12-22,1461475,496318,2981015,13539443,9414123,19024333,206268,152364,273871
2020-12-23,1480466,496644,3038927,13677276,9462063,19323631,208297,153178,277990
2020-12-24,1499670,498239,3095286,13817834,9515281,19603011,210369,154060,281796
2020-12-25,1519244,500062,3154899,13959724,9570427,19901594,212458,154972,285873
2020-12-26,1538800,499772,3210357,14102751,9623864,20208113,214566,155890,290158
2020-12-27,1558771,501464,3271956,14248308,9678063,20511223,216710,156787,294279
2020-12-28,1578847,502725,3331782,14395828,9725314,20847214,218886,157573,298992
2020-12-29,1599363,502839,3393477,14544957,9776804,21162880,221082,158451,303326
2020-12-30,1620013,506912,3453607,14696689,9824253,21472367,223320,159192,307581
2020-12-31,1641102,506601,3519921,14850138,9878349,21811373,225579,160122,312235
