"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Unreported_Infected_Mean","Current_Unreported_Infected_Upper_CI","Current_Unreported_Infected_Lower_CI","Total_Current_Cases_Mean","Total_Current_Cases_Upper_CI","Total_Current_Cases_Lower_CI","Cum_Reported_Cases_Mean","Cum_Reported_Cases_Upper_CI","Cum_Reported_Cases_Lower_CI","Cum_Unreported_Cases_Mean","Cum_Unreported_Cases_Upper_CI","Cum_Unreported_Cases_Lower_CI","Total_Cum_Cases_Mean","Total_Cum_Cases_Upper_CI","Total_Cum_Cases_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","Total_Deceased_Mean","Total_Deceased_Upper_CI","Total_Deceased_Lower_CI","place"
2020-07-19,456813,475614,438251,2326923,2428562,2229183,2783736,2904176,2667434,1166083,1215167,1118904,7341839,7657866,7024686,8507922,8873033,8143590,12070,12669,11545,23692,24726,22638,35762,37395,34183,"India"
2020-07-20,473140,492506,453951,2413840,2518749,2312447,2886980,3011255,2766398,1208043,1258784,1159255,7630942,7959451,7301782,8838985,9218235,8461037,12506,13111,11969,24615,25678,23524,37121,38789,35493,"India"
2020-07-21,490105,510335,470309,2503884,2612427,2399516,2993989,3122762,2869825,1251558,1304260,1201218,7930733,8272146,7589753,9182291,9576406,8790971,12958,13575,12391,25573,26681,24436,38531,40256,36827,"India"
2020-07-22,507722,528792,487338,2597244,2709753,2489578,3104966,3238545,2976916,1296687,1351410,1244507,8241691,8596850,7888068,9538378,9948260,9132575,13426,14082,12826,26564,27716,25389,39990,41798,38215,"India"
2020-07-23,526010,548126,505098,2693868,2810267,2582510,3219878,3358393,3087608,1343474,1400185,1289628,8564032,8933024,8197545,9907506,10333209,9487173,13910,14578,13293,27594,28774,26347,41504,43352,39640,"India"
2020-07-24,545026,567918,523245,2794048,2913837,2678118,3339074,3481755,3201363,1392000,1450846,1336144,8898338,9281122,8517975,10290338,10731968,9854119,14412,15121,13786,28660,29909,27373,43072,45030,41159,"India"
2020-07-25,564779,588761,542051,2897700,3021301,2777193,3462479,3610062,3319244,1442339,1503655,1384459,9244867,9641899,8849814,10687206,11145554,10234273,14933,15639,14277,29768,31051,28441,44701,46690,42718,"India"
2020-07-26,585270,610097,561455,3005139,3132566,2880480,3590409,3742663,3441935,1494524,1557899,1434219,9604197,10016265,9195039,11098721,11574164,10629258,15473,16181,14811,30917,32252,29555,46390,48433,44366,"India"
2020-07-27,606514,632180,581342,3116392,3248743,2986437,3722906,3880923,3567779,1548615,1614130,1485670,9976699,10404809,9551864,11525314,12018939,11037534,16034,16762,15337,32108,33468,30672,48142,50230,46009,"India"
2020-07-28,628552,655198,602342,3231678,3369215,3097095,3860230,4024413,3699437,1604696,1672563,1539288,10362912,10807833,9922380,11967608,12480396,11461668,16614,17376,15893,33340,34766,31867,49954,52142,47760,"India"
2020-07-29,651420,679361,624657,3351045,3493543,3212720,4002465,4172904,3837377,1662853,1733211,1595447,10763262,11224921,10307431,12426115,12958132,11902878,17214,17996,16477,34622,36097,33118,51836,54093,49595,"India"
2020-07-30,675156,704455,647023,3474681,3621341,3331034,4149837,4325796,3978057,1723136,1796504,1653220,11178247,11655459,10705270,12901383,13451963,12358490,17837,18645,17068,35945,37449,34388,53782,56094,51456,"India"
2020-07-31,699720,730217,670694,3602782,3754938,3453263,4302502,4485155,4123957,1785583,1861722,1713258,11608467,12103393,11117275,13394050,13965115,12830533,18483,19327,17702,37318,38866,35702,55801,58193,53404,"India"
2020-08-01,726036,757437,696001,3734638,3893085,3579664,4460674,4650522,4275665,1851173,1929973,1776322,12053604,12569562,11544344,13904777,14499535,13320666,19153,20019,18354,38744,40385,37065,57897,60404,55419,"India"
2020-08-02,748674,781157,717824,3840114,4003148,3679897,4588788,4784305,4397721,1914545,1995905,1836891,12483817,13019398,11956460,14398362,15015303,13793351,19846,20733,19032,40219,41909,38474,60065,62642,57506,"India"
2020-08-03,768648,801990,737183,3927132,4093965,3763741,4695780,4895955,4500924,1976530,2060563,1896385,12904652,13458185,12359496,14881182,15518748,14255881,20559,21476,19701,41740,43477,39952,62299,64953,59653,"India"
2020-08-04,786679,820691,754651,4001159,4170079,3834922,4787838,4990770,4589573,2037714,2123934,1955289,13319977,13890280,12758242,15357691,16014214,14713531,21293,22228,20394,43298,45106,41470,64591,67334,61864,"India"
2020-08-05,803315,837968,770814,4066220,4237524,3897460,4869535,5075492,4668274,2098497,2187237,2013916,13732598,14319282,13153927,15831095,16506519,15167843,22044,23027,21110,44889,46773,42992,66933,69800,64102,"India"
2020-08-06,818916,854035,785508,4124988,4299723,3953254,4943904,5153758,4738762,2159171,2250608,2071810,14144419,14748618,13548702,16303590,16999226,15620512,22810,23844,21850,46511,48454,44567,69321,72298,66417,"India"
2020-08-07,833753,869417,799766,4179652,4355721,4005709,5013405,5225138,4805475,2219958,2313927,2129924,14557050,15177068,13945029,16777008,17490995,16074953,23594,24646,22600,48154,50165,46122,71748,74811,68722,"India"
2020-08-08,848040,884238,813485,4231491,4410890,4055724,5079531,5295128,4869209,2281019,2377560,2188502,14971450,15609547,14342253,17252469,17987107,16530755,24391,25469,23375,49829,51939,47724,74220,77408,71099,"India"
2020-08-09,861897,898706,826746,4281544,4462588,4103935,5143441,5361294,4930681,2342460,2441635,2247452,15388369,16042491,14742520,17730829,18484126,16989972,25202,26320,24185,51525,53703,49378,76727,80023,73563,"India"
2020-08-10,875417,912858,839532,4330537,4514436,4151796,5205954,5427294,4991328,2404342,2505981,2306779,15808391,16481115,15145875,18212733,18987096,17452654,26027,27169,24995,53242,55499,51005,79269,82668,76000,"India"
2020-08-11,888689,926599,852492,4379078,4564983,4198446,5267767,5491582,5050938,2466744,2570922,2366826,16231997,16922151,15551916,18698741,19493073,17918742,26862,28050,25817,54985,57317,52688,81847,85367,78505,"India"
2020-08-12,901794,940160,865576,4427363,4615477,4243696,5329157,5555637,5109272,2529714,2636587,2427415,16659429,17367632,15960671,19189143,20004219,18388086,27710,28923,26625,56749,59182,54350,84459,88105,80975,"India"
2020-08-13,914783,953625,878175,4475670,4666214,4289856,5390453,5619839,5168031,2593289,2702582,2488579,17090973,17817291,16373955,19684262,20519873,18862534,28572,29825,27470,58537,61052,56032,87109,90877,83502,"India"
2020-08-14,927643,967226,890316,4524291,4718166,4335922,5451934,5685392,5226238,2657491,2769576,2550060,17526777,18272759,16791284,20184268,21042335,19341344,29446,30774,28307,60345,62931,57754,89791,93705,86061,"India"
2020-08-15,940453,980525,902800,4573247,4769595,4381642,5513700,5750120,5284442,2722351,2837251,2612163,17967009,18731139,17212250,20689360,21568390,19824413,30330,31694,29117,62177,64815,59485,92507,96509,88602,"India"
2020-08-16,953205,994116,915124,4622751,4821093,4430176,5575956,5815209,5345300,2787889,2905810,2675480,18411856,19194442,17639339,21199745,22100252,20314819,31231,32619,29998,64031,66736,61269,95262,99355,91267,"India"
2020-08-17,965916,1007434,927265,4672729,4873389,4478110,5638645,5880823,5405375,2854101,2975091,2738880,18861281,19662254,18069852,21715382,22637345,20808732,32143,33581,30885,65908,68637,63116,98051,102218,94001,"India"
2020-08-18,978642,1020689,939225,4723299,4926122,4526055,5701941,5946811,5465280,2921022,3045126,2802958,19315525,20135724,18504557,22236547,23180850,21307515,33068,34553,31723,67811,70614,64926,100879,105167,96649,"India"
2020-08-19,991363,1033853,951294,4774434,4979629,4574968,5765797,6013482,5526262,2988643,3115528,2867844,19774566,20613563,18943512,22763209,23729091,21811356,34001,35515,32653,69735,72644,66801,103736,108159,99454,"India"
2020-08-20,1004058,1046815,963823,4826246,5033591,4624554,5830304,6080406,5588377,3056966,3186259,2933715,20238545,21096787,19387682,23295511,24283046,22321397,34949,36513,33542,71683,74626,68646,106632,111139,102188,"India"
2020-08-21,1016834,1059733,975812,4878611,5088655,4674940,5895445,6148388,5650752,3126063,3257875,3000010,20707468,21584741,19837569,23833531,24842616,22837579,35910,37518,34477,73653,76718,70520,109563,114236,104997,"India"
2020-08-22,1029623,1073028,988106,4931597,5142899,4724359,5961220,6215927,5712465,3195893,3330842,3066949,21181411,22077495,20290727,24377304,25408337,23357676,36885,38526,35388,75644,78794,72372,112529,117320,107760,"India"
2020-08-23,1042436,1086545,1000610,4985210,5198190,4775402,6027646,6284735,5776012,3266458,3404408,3134979,21660416,22575523,20749628,24926874,25979931,23884607,37868,39556,36317,77663,80851,74351,115531,120407,110668,"India"
2020-08-24,1055271,1100152,1012864,5039381,5254555,4826159,6094652,6354707,5839023,3337774,3479204,3203351,22144540,23079335,21212590,25482314,26558539,24415941,38864,40588,37276,79705,82997,76279,118569,123585,113555,"India"
2020-08-25,1068198,1113350,1025191,5094265,5311176,4879664,6162463,6424526,5904855,3409881,3554031,3272218,22633914,23587872,21681912,26043795,27141903,24954130,39874,41598,38247,81771,85138,78222,121645,126736,116469,"India"
2020-08-26,1081141,1126370,1037308,5149778,5367953,4932804,6230919,6494323,5970112,3482747,3629560,3342100,23128556,24101973,22156074,26611303,27731533,25498174,40895,42678,39235,83860,87343,80262,124755,130021,119497,"India"
2020-08-27,1094170,1139694,1049814,5205847,5424757,4986612,6300017,6564451,6036426,3556396,3705876,3412750,23628506,24619891,22634632,27184902,28325767,26047382,41926,43746,40259,85971,89523,82297,127897,133269,122556,"India"
2020-08-28,1107230,1153448,1062773,5262558,5483280,5040393,6369788,6636728,6103166,3630829,3783795,3484416,24133769,25145425,23117975,27764598,28929220,26602391,42973,44834,41260,88106,91745,84371,131079,136579,125631,"India"
2020-08-29,1120352,1167084,1075364,5319863,5542906,5095917,6440215,6709990,6171281,3706070,3862453,3556482,24644404,25675878,23607723,28350474,29538331,27164205,44029,45910,42267,90269,93962,86448,134298,139872,128715,"India"
2020-08-30,1133570,1180783,1088268,5377759,5603871,5151766,6511329,6784654,6240034,3782128,3941337,3629841,25160566,26212651,24102385,28942694,30153988,27732226,45101,47029,43293,92460,96222,88536,137561,143251,131829,"India"
2020-08-31,1146844,1194355,1100934,5436188,5664457,5207343,6583032,6858812,6308277,3858980,4021102,3703475,25682158,26755325,24602252,29541138,30776427,28305727,46182,48140,44337,94670,98564,90635,140852,146704,134972,"India"
2020-09-01,1180605,1229370,1133436,5474901,5705838,5242701,6655506,6935208,6376137,3957069,4122809,3798016,26188982,27283144,25086241,30146051,31405953,28884257,47278,49282,45450,96909,100879,92783,144187,150161,138233,"India"
2020-09-02,1209935,1260349,1161488,5497682,5730692,5263064,6707617,6991041,6424552,4052609,4222676,3889957,26682537,27797813,25557521,30735146,32020489,29447478,48408,50477,46539,99174,103243,94928,147582,153720,141467,"India"
2020-09-03,1235673,1286877,1186671,5509284,5743158,5273753,6744957,7030035,6460424,4146212,4319694,3980285,27166245,28300797,26019970,31312457,32620491,30000255,49564,51682,47676,101464,105589,97136,151028,157271,144812,"India"
2020-09-04,1258558,1310466,1208663,5513151,5747515,5276944,6771709,7057981,6485607,4238410,4415365,4068681,27642576,28796607,26475224,31880986,33211972,30543905,50743,52922,48783,103773,108024,99325,154516,160946,148108,"India"
2020-09-05,1279103,1331666,1229151,5511869,5746518,5276212,6790972,7078184,6505363,4329542,4510131,4156969,28113436,29286219,26926745,32442978,33796350,31083714,51944,54153,49942,106092,110457,101566,158036,164610,151508,"India"
2020-09-06,1297656,1350966,1246858,5507110,5740959,5272838,6804766,7091925,6519696,4419829,4603930,4243789,28580098,29771614,27374930,32999927,34375544,31618719,53167,55412,51111,108429,112841,103850,161596,168253,154961,"India"
2020-09-07,1314621,1368499,1263037,5500275,5732788,5266299,6814896,7101287,6529336,4509574,4697160,4329904,29043659,30253431,27818386,33553233,34950591,32148290,54406,56704,52263,110774,115261,106102,165180,171965,158365,"India"
2020-09-08,1330132,1384454,1277694,5492331,5724319,5259011,6822463,7108773,6536705,4598808,4789998,4415435,29504833,30732978,28259622,34103641,35522976,32675057,55661,58041,53480,113127,117701,108373,168788,175742,161853,"India"
2020-09-09,1344415,1399171,1291380,5483641,5714741,5250006,6828056,7113912,6541386,4687706,4882435,4500965,29964049,31210731,28698573,34651755,36093166,33199538,56934,59366,54672,115490,120137,110652,172424,179503,165324,"India"
2020-09-10,1357633,1412976,1303834,5474762,5705018,5242519,6832395,7117994,6546353,4776315,4975139,4586136,30421823,31687107,29137427,35198138,36662246,33723563,58217,60699,55907,117857,122620,112950,176074,183319,168857,"India"
2020-09-11,1369866,1425540,1316075,5466046,5695815,5234590,6835912,7121355,6550665,4864690,5066959,4671608,30878488,32162800,29575266,35743178,37229759,34246874,59514,62037,57196,120235,125039,115164,179749,187076,172360,"India"
2020-09-12,1381230,1437656,1327117,5457691,5685411,5225884,6838921,7123067,6553001,4952885,5159055,4756559,31334244,32635138,30011511,36287129,37794193,34768070,60825,63410,58455,122616,127474,117468,183441,190884,175923,"India"
2020-09-13,1391846,1448152,1337061,5449765,5676529,5218794,6841611,7124681,6555855,5040949,5250399,4840814,31789260,33108265,30447873,36830209,38358664,35288687,62143,64780,59746,125009,129983,119755,187152,194763,179501,"India"
2020-09-14,1401749,1458430,1346887,5442342,5668517,5212711,6844091,7126947,6559598,5128908,5342308,4925722,32243627,33580456,30883533,37372535,38922764,35809255,63473,66181,60994,127397,132455,122041,190870,198636,183035,"India"
2020-09-15,1411009,1467925,1356360,5435499,5660667,5205641,6846508,7128592,6562001,5216771,5433623,5010473,32697553,34052492,31317740,37914324,39486115,36328213,64816,67614,62279,129800,134970,124329,194616,202584,186608,"India"
2020-09-16,1419679,1477185,1364983,5429310,5653463,5201477,6848989,7130648,6566460,5304554,5525798,5095175,33151072,34524352,31753287,38455626,40050150,36848462,66161,69040,63560,132204,137511,126666,198365,206551,190226,"India"
2020-09-17,1427780,1485207,1372760,5423697,5647556,5196766,6851477,7132763,6569526,5392268,5616777,5179636,33604309,34995427,32187172,38996577,40612204,37366808,67518,70469,64821,134615,140052,128961,202133,210521,193782,"India"
2020-09-18,1435380,1493097,1380484,5418620,5643880,5192355,6854000,7136977,6572839,5479944,5707944,5264140,34057197,35467999,32621074,39537141,41175943,37885214,68881,71888,66137,137025,142523,131275,205906,214411,197412,"India"
2020-09-19,1442561,1500513,1387438,5414149,5638355,5186725,6856710,7138868,6574163,5567574,5799084,5348255,34509946,35938392,33053635,40077520,41737476,38401890,70255,73324,67411,139441,145067,133560,209696,218391,200971,"India"
2020-09-20,1449224,1507690,1394301,5410250,5634939,5183062,6859474,7142629,6577363,5655138,5890589,5433019,34962486,36408790,33486796,40617624,42299379,38919815,71634,74768,68745,141861,147514,135991,213495,222282,204736,"India"
2020-09-21,1455519,1513859,1400264,5406810,5631069,5181107,6862329,7144928,6581371,5742684,5981248,5516931,35414894,36879440,33922049,41157578,42860688,39438980,73014,76202,70053,144285,150021,138275,217299,226223,208328,"India"
2020-09-22,1461473,1520535,1406130,5403873,5627268,5177813,6865346,7147803,6583943,5830229,6073117,5601233,35867182,37350219,34355088,41697411,43423336,39956321,74406,77673,71402,146718,152570,140583,221124,230243,211985,"India"
2020-09-23,1467096,1526633,1411775,5401376,5623706,5175814,6868472,7150339,6587589,5917778,6164446,5685565,36319358,37819574,34787985,42237136,43984020,40473550,75802,79107,72742,149152,155154,142955,224954,234261,215697,"India"
2020-09-24,1472348,1531656,1417140,5399382,5621521,5175010,6871730,7153177,6592150,6005277,6255134,5769942,36771522,38289619,35221447,42776799,44544753,40991389,77206,80574,74089,151592,157643,145336,228798,238217,219425,"India"
2020-09-25,1477311,1536557,1422603,5397618,5619910,5173058,6874929,7156467,6595661,6092781,6345908,5854525,37223574,38760732,35653952,43316355,45106640,41508477,78614,82060,75423,154044,160184,147648,232658,242244,223071,"India"
2020-09-26,1481970,1541070,1427149,5396314,5618781,5172858,6878284,7159851,6600007,6180274,6436705,5938554,37675622,39230733,36087546,43855896,45667438,42026100,80025,83541,76791,156491,162708,149971,236516,246249,226762,"India"
2020-09-27,1486338,1545550,1431358,5395224,5617932,5171646,6881562,7163482,6603004,6267739,6527461,6022623,38127572,39701009,36520440,44395311,46228470,42543063,81442,85003,78150,158949,165215,152330,240391,250218,230480,"India"
2020-09-28,1490547,1550015,1435674,5394476,5616582,5170853,6885023,7166597,6606527,6355234,6618924,6106887,38579539,40171216,36952921,44934773,46790140,43059808,82861,86462,79542,161405,167810,154681,244266,254272,234223,"India"
2020-09-29,1494506,1553989,1439987,5394057,5614593,5170639,6888563,7168582,6610626,6442746,6709486,6191574,39031493,40640463,37385837,45474239,47349949,43577411,84286,87922,80972,163865,170365,157087,248151,258287,238059,"India"
2020-09-30,1498201,1557856,1443290,5393897,5614885,5171048,6892098,7172741,6614338,6530219,6800257,6275524,39483506,41110954,37819518,46013725,47911211,44095042,85712,89421,82314,166327,172913,159451,252039,262334,241765,"India"
2020-10-01,1494457,1554077,1439866,5401250,5621315,5178770,6895707,7175392,6618636,6610455,6883936,6353159,39942783,41588018,38260761,46553238,48471954,44613920,87141,90884,83716,168794,175444,161852,255935,266328,245568,"India"
2020-10-02,1488210,1546969,1433877,5392541,5610407,5171140,6880751,7157376,6605017,6687972,6964140,6427657,40386676,42048615,38686824,47074648,49012755,45114481,88568,92395,85123,171260,178017,164224,259828,270412,249347,"India"
2020-10-03,1480171,1538229,1426378,5372175,5587843,5150612,6852346,7126072,6576990,6763350,7042097,6500645,40818128,42496580,39098067,47581478,49538677,45598712,89991,93870,86496,173730,180580,166572,263721,274450,253068,"India"
2020-10-04,1470822,1528556,1417301,5343464,5556949,5123586,6814286,7085505,6540887,6836947,7119092,6571649,41239424,42934151,39502599,48076371,50053243,46074248,91407,95315,87851,176192,183153,168916,267599,278468,256767,"India"
2020-10-05,1460510,1517726,1407717,5308758,5520203,5091284,6769268,7037929,6499001,6909044,7193793,6641249,41652161,43362374,39899094,48561205,50556167,46540343,92814,96784,89186,178641,185695,171248,271455,282479,260434,"India"
2020-10-06,1449505,1506254,1397002,5269778,5479080,5055016,6719283,6985334,6452018,6979871,7267435,6709530,42057575,43783483,40289048,49037446,51050918,46998578,94210,98188,90468,181081,188237,173619,275291,286425,264087,"India"
2020-10-07,1437961,1493999,1385642,5227858,5435902,5015482,6665819,6929901,6401124,7049563,7339903,6776552,42456623,44198965,40671922,49506186,51538868,47448474,95597,99651,91794,183498,190734,175900,279095,290385,267694,"India"
2020-10-08,1426117,1480966,1374486,5183888,5388979,4973689,6610005,6869945,6348175,7118278,7410766,6843065,42849918,44607385,41049816,49968196,52018151,47892881,96969,101090,93175,185902,193253,178265,282871,294343,271440,"India"
2020-10-09,1414006,1468245,1363070,5138546,5340156,4931044,6552552,6808401,6294114,7186075,7480999,6908453,43238041,45009295,41422744,50424116,52490294,48331197,98332,102490,94513,188289,195745,180573,286621,298235,275086,"India"
2020-10-10,1401728,1455502,1351089,5092353,5290506,4887811,6494081,6746008,6238900,7253017,7550773,6973006,43621325,45406268,41791960,50874342,52957041,48764966,99683,103925,95803,190657,198174,182879,290340,302099,278682,"India"
2020-10-11,1389377,1442548,1339172,5045801,5242331,4843705,6435178,6684879,6182877,7319193,7619282,7036538,44000129,45800603,42156210,51319322,53419885,49192748,101019,105320,97067,193005,200608,185196,294024,305928,282263,"India"
2020-10-12,1376987,1429660,1327069,4998976,5191995,4798377,6375963,6621655,6125446,7384615,7687050,7099485,44374618,46188684,42515152,51759233,53875734,49614637,102348,106697,98363,195341,202960,187441,297689,309657,285804,"India"
2020-10-13,1364574,1416707,1315267,4952070,5143033,4753607,6316644,6559740,6068874,7449331,7754402,7161979,44744980,46573593,42871231,52194311,54327995,50033210,103664,108093,99594,197656,205351,189653,301320,313444,289247,"India"
2020-10-14,1352152,1403997,1303368,4905423,5094582,4709670,6257575,6498579,6013038,7513335,7821187,7223733,45111460,46954989,43223691,52624795,54776176,50447424,104966,109480,100881,199952,207723,191836,304918,317203,292717,"India"
2020-10-15,1339805,1391244,1291236,4858982,5046130,4665930,6198787,6437374,5957166,7576698,7887350,7284755,45474110,47331181,43572890,53050808,55218531,50857645,106258,110822,102120,202230,210072,194017,308488,320894,296137,"India"
2020-10-16,1327489,1378463,1279650,4812818,4997442,4621592,6140307,6375905,5901242,7639420,7952336,7345484,45833012,47702435,43917519,53472432,55654771,51263003,107540,112138,103379,204489,212447,196199,312029,324585,299578,"India"
2020-10-17,1315203,1366071,1268183,4767062,4948384,4578286,6082265,6314455,5846469,7701483,8017218,7405672,46188287,48070101,44259150,53889770,56087319,51664822,108809,113481,104582,206730,214798,198344,315539,328279,302926,"India"
2020-10-18,1303000,1353630,1256271,4721638,4899644,4535354,6024638,6253274,5791625,7762920,8081056,7464581,46539911,48434542,44597642,54302831,56515598,52062223,110067,114794,105773,208951,217072,200491,319018,331866,306264,"India"
2020-10-19,1290857,1340981,1244567,4676728,4853383,4493350,5967585,6194364,5737917,7823744,8144231,7522938,46888114,48796398,44932185,54711858,56940629,52455123,111313,116097,106986,211151,219350,202621,322464,335447,309607,"India"
2020-10-20,1278826,1328158,1232750,4632237,4807427,4450986,5911063,6135585,5683736,7883964,8206675,7580568,47232778,49155281,45263626,55116742,57361956,52844194,112549,117346,108200,213332,221652,204735,325881,338998,312935,"India"
2020-10-21,1266850,1316230,1221372,4588123,4760801,4409450,5854973,6077031,5630822,7943582,8268981,7638182,47574080,49508986,45592573,55517662,57777967,53230755,113769,118603,109333,215501,223940,206793,329270,342543,316126,"India"
2020-10-22,1254963,1303865,1209924,4544457,4715117,4367419,5799420,6018982,5577343,8002622,8330001,7694880,47911987,49859560,45917468,55914609,58189561,53612348,114980,119870,110466,217648,226115,208841,332628,345985,319307,"India"
2020-10-23,1243179,1291888,1198459,4501171,4670182,4325971,5744350,5962070,5524430,8061086,8390830,7751264,48246543,50207325,46239757,56307629,58598155,53991021,116181,121112,111636,219776,228355,210930,335957,349467,322566,"India"
2020-10-24,1231475,1279554,1187175,4458367,4625846,4285250,5689842,5905400,5472425,8118945,8450501,7807317,48577873,50551100,46558370,56696818,59001601,54365687,117370,122380,112789,221887,230574,212955,339257,352954,325744,"India"
2020-10-25,1219877,1267577,1176159,4416007,4582345,4245279,5635884,5849922,5421438,8176258,8509983,7862377,48905909,50892690,46874551,57082167,59402673,54736928,118546,123552,113937,223980,232729,214957,342526,356281,328894,"India"
2020-10-26,1208364,1255349,1165169,4374071,4538450,4206042,5582435,5793799,5371211,8233010,8568274,7916984,49230756,51229854,47186636,57463766,59798128,55103620,119710,124794,115051,226051,234838,216920,345761,359632,331971,"India"
2020-10-27,1196939,1243521,1154580,4332542,4496418,4166681,5529481,5739939,5321261,8289184,8626636,7971599,49552435,51564885,47496309,57841619,60191521,55467908,120864,126022,116144,228107,236926,218900,348971,362948,335044,"India"
2020-10-28,1185623,1231655,1143694,4291403,4454082,4126769,5477026,5685737,5270463,8344833,8684127,8025539,49870945,51895927,47802292,58215778,60580054,55827831,122009,127201,117269,230144,239003,220866,352153,366204,338135,"India"
2020-10-29,1174395,1219845,1132771,4250699,4410939,4088262,5425094,5630784,5221033,8399941,8740733,8078854,50186335,52222107,48106374,58586276,60962840,56185228,123142,128361,118404,232160,241081,222830,355302,369442,341234,"India"
2020-10-30,1163266,1208270,1121848,4210304,4369182,4049866,5373570,5577452,5171714,8454514,8797389,8131221,50498627,52546914,48407528,58953141,61344303,56538749,124263,129537,119493,234163,243131,224770,358426,372668,344263,"India"
2020-10-31,1152216,1196769,1111099,4170266,4328074,4011564,5322482,5524843,5122663,8508532,8853679,8183570,50807817,52868215,48705373,59316349,61721894,56888943,125374,130682,120578,236145,245166,226654,361519,375848,347232,"India"
2020-11-01,1141270,1185213,1100606,4130723,4286967,3973674,5271993,5472180,5074280,8562026,8909139,8235107,51114058,53185681,49000066,59676084,62094820,57235173,126474,131834,121663,238109,247135,228596,364583,378969,350259,"India"
2020-11-02,1130440,1173421,1090225,4091593,4245574,3935947,5222033,5418995,5026172,8615013,8963087,8286047,51417336,53500619,49291606,60032349,62463706,57577653,127566,132956,122666,240058,249208,230468,367624,382164,353134,"India"
2020-11-03,1119712,1162336,1080098,4052804,4204931,3899195,5172516,5367267,4979293,8667493,9017783,8336652,51717612,53812288,49580820,60385105,62830071,57917472,128645,134054,123745,241989,251250,232325,370634,385304,356070,"India"
2020-11-04,1109061,1150575,1070167,4014361,4165217,3862861,5123422,5315792,4933028,8719461,9070879,8387533,52014935,54120233,49867428,60734396,63191112,58254961,129715,135184,124767,243901,253233,234124,373616,388417,358891,"India"
2020-11-05,1098486,1139375,1060088,3976293,4124588,3826411,5074779,5263963,4886499,8770900,9124048,8437382,52309382,54424528,50150878,61080282,63548576,58588260,130774,136311,125810,245799,255219,235959,376573,391530,361769,"India"
2020-11-06,1088001,1128505,1049693,3938557,4085489,3789885,5026558,5213994,4839578,8821842,9176708,8486491,52600933,54726331,50431849,61422775,63903039,58918340,131825,137373,126830,247681,257260,237818,379506,394633,364648,"India"
2020-11-07,1077626,1117851,1039372,3901219,4045007,3753645,4978845,5162858,4793017,8872274,9228950,8534811,52889630,55024319,50709322,61761904,64253269,59244133,132861,138445,127807,249545,259177,239594,382406,397622,367401,"India"
2020-11-08,1067350,1106840,1029770,3864268,4006285,3718823,4931618,5113125,4748593,8922217,9280457,8583415,53175539,55320583,50985231,62097756,64601040,59568646,133892,139533,128777,251390,261140,241365,385282,400673,370142,"India"
2020-11-09,1057172,1096374,1020350,3827579,3968022,3683139,4884751,5064396,4703489,8971693,9331809,8631660,53458632,55613800,51257623,62430325,64945609,59889283,134912,140562,129811,253222,263025,243125,388134,403587,372936,"India"
2020-11-10,1047042,1085165,1010706,3791234,3929079,3648506,4838276,5014244,4659212,9020657,9381833,8679476,53738944,55903824,51527781,62759601,65285657,60207257,135921,141623,130781,255035,264910,244889,390956,406533,375670,"India"
2020-11-11,1037033,1074676,1001013,3755289,3891086,3614252,4792322,4965762,4615265,9069162,9431819,8726279,54016546,56190014,51795338,63085708,65621833,60521617,136923,142683,131733,256833,266751,246634,393756,409434,378367,"India"
2020-11-12,1027115,1064355,991731,3719692,3852898,3580901,4746807,4917253,4572632,9117186,9481624,8772709,54291439,56473907,52060773,63408625,65955531,60833482,137915,143687,132677,258615,268580,248349,396530,412267,381026,"India"
2020-11-13,1017283,1054187,982059,3684417,3815359,3547738,4701700,4869546,4529797,9164742,9530981,8818664,54563648,56756050,52323486,63728390,66287031,61142150,138897,144702,133621,260381,270365,250057,399278,415067,383678,"India"
2020-11-14,1007533,1043981,972595,3649425,3778997,3514535,4656958,4822978,4487130,9211844,9579996,8864036,54833165,57036902,52583104,64045009,66616898,61447140,139866,145649,134549,262129,272175,251710,401995,417824,386259,"India"
2020-11-15,997877,1033969,963672,3614764,3743514,3481330,4612641,4777483,4445002,9258483,9628231,8909431,55100089,57315265,52840665,64358572,66943496,61750096,140829,146627,135494,263864,274002,253365,404693,420629,388859,"India"
2020-11-16,988321,1023992,954719,3580369,3707757,3448271,4568690,4731749,4402990,9304658,9675669,8954254,55364359,57590265,53094093,64669017,67265934,62048347,141782,147623,136400,265583,275771,255046,407365,423394,391446,"India"
2020-11-17,978842,1014422,946032,3546355,3672283,3415253,4525197,4686705,4361285,9350367,9723162,8998748,55626062,57862788,53346274,64976429,67585950,62345022,142724,148614,137307,267284,277550,256676,410008,426164,393983,"India"
2020-11-18,969454,1004469,936743,3512597,3638156,3383525,4482051,4642625,4320268,9395639,9769961,9042055,55885209,58133317,53596513,65280848,67903278,62638568,143661,149601,138200,268971,279287,258259,412632,428888,396459,"India"
