"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-04-30,19619,20494,18828,49061,51540,46626,9682,10133,9218,14222,14869,13657,248,279,214,74868,78068,71917,392,437,354,"India"
2020-05-01,20464,21378,19630,50765,53439,48185,10126,10595,9649,15306,15987,14699,266,298,232,79755,83151,76584,420,464,380,"India"
2020-05-02,21331,22323,20478,52548,55261,49842,10587,11091,10099,16437,17150,15795,286,319,250,84818,88505,81407,448,500,408,"India"
2020-05-03,22228,23260,21314,54423,57299,51623,11063,11620,10562,17613,18389,16920,306,342,268,90056,94045,86378,478,533,436,"India"
2020-05-04,23054,24101,22126,56517,59462,53579,11509,12067,10979,18840,19654,18091,328,362,288,95487,99755,91593,508,563,463,"India"
2020-05-05,24116,25201,23125,59403,62578,56294,12061,12651,11481,20115,20979,19310,350,388,311,101133,105690,97002,540,597,494,"India"
2020-05-06,25388,26528,24329,62920,66165,59617,12702,13297,12086,21447,22363,20584,373,413,331,107061,111925,102629,574,633,521,"India"
2020-05-07,26833,28017,25711,66958,70362,63421,13424,14038,12789,22846,23817,21930,397,438,354,113342,118608,108574,609,673,559,"India"
2020-05-08,28436,29688,27208,71453,75048,67838,14217,14889,13547,24326,25368,23385,423,466,380,120023,125601,114932,646,710,597,"India"
2020-05-09,30194,31487,28905,76363,80155,72506,15086,15765,14381,25896,27004,24889,450,496,404,127148,133120,121700,687,748,631,"India"
2020-05-10,32103,33491,30707,81678,85709,77479,16031,16782,15285,27565,28741,26484,479,529,431,134752,141071,128903,728,790,670,"India"
2020-05-11,34166,35625,32690,87397,91705,82981,17045,17855,16238,29336,30583,28199,510,560,461,142885,149492,136677,774,838,713,"India"
2020-05-12,36387,37968,34816,93535,98084,88791,18138,18975,17289,31222,32530,29986,543,594,491,151584,158572,144974,821,887,761,"India"
2020-05-13,38769,40526,37075,100099,104924,95091,19317,20229,18458,33230,34561,31947,578,634,526,160891,168307,153850,873,941,809,"India"
2020-05-14,41339,43184,39495,107135,112142,101839,20576,21532,19651,35368,36835,33936,616,669,564,170841,178796,163412,928,1000,861,"India"
2020-05-15,44091,46092,42142,114644,120037,109104,21927,22917,20956,37646,39223,36107,655,715,599,181489,189944,173536,987,1057,912,"India"
2020-05-16,47039,49100,44986,122665,128336,116772,23375,24448,22318,40079,41762,38451,698,758,637,192886,201826,184419,1050,1126,969,"India"
2020-05-17,50196,52484,47961,131243,137305,125072,24928,26120,23807,42676,44495,40942,743,807,680,205065,214511,195911,1116,1195,1035,"India"
2020-05-18,52018,54337,49740,142599,149241,135864,25921,27108,24723,45448,47387,43596,790,855,728,218106,228168,208458,1188,1273,1108,"India"
2020-05-19,53953,56419,51568,153945,161074,146701,26963,28177,25693,48314,50390,46353,840,907,775,232226,242853,221860,1265,1356,1177,"India"
2020-05-20,56013,58500,53537,165461,173003,157652,28062,29307,26804,51292,53489,49228,892,962,820,247423,258531,236472,1345,1444,1259,"India"
2020-05-21,58226,60782,55638,177299,185375,169077,29241,30518,27879,54388,56711,52229,946,1020,873,263722,275599,251973,1431,1529,1334,"India"
2020-05-22,60615,63239,57938,189530,198182,180852,30495,31868,29080,57601,60096,55313,1001,1075,930,281157,293814,268672,1522,1625,1422,"India"
2020-05-23,63195,65926,60317,202267,211532,193069,31835,33255,30409,60944,63574,58527,1059,1135,985,299766,313227,286502,1618,1725,1515,"India"
2020-05-24,65982,68839,62950,215565,225250,205798,33273,34779,31828,64432,67238,61889,1119,1194,1039,319602,333924,305353,1719,1830,1610,"India"
2020-05-25,68976,71917,65855,229523,239712,219029,34808,36355,33266,68071,70958,65352,1182,1269,1098,340711,355972,325506,1826,1946,1717,"India"
2020-05-26,72187,75326,69023,244167,254946,233430,36451,38074,34888,71875,74853,69013,1248,1337,1164,363161,379263,347098,1939,2061,1823,"India"
2020-05-27,75632,78892,72402,259544,270729,248134,38206,39909,36611,75860,78992,72778,1317,1408,1229,387030,404328,369932,2059,2190,1937,"India"
2020-05-28,79323,82715,76102,275721,287496,263476,40083,41833,38466,80034,83345,76797,1389,1483,1295,412387,430704,394257,2184,2316,2062,"India"
2020-05-29,83277,86797,79850,292759,304995,279832,42085,43937,40398,84410,87921,80935,1464,1565,1369,439292,458557,420028,2318,2451,2190,"India"
2020-05-30,87493,91198,83832,310722,323864,296958,44211,46128,42403,89005,92723,85348,1544,1647,1442,467842,488160,447499,2458,2597,2328,"India"
2020-05-31,91994,95965,88110,329644,343720,315252,46479,48430,44522,93831,97712,90078,1627,1731,1518,498133,519897,476592,2608,2752,2466,"India"
2020-06-01,95765,99989,91757,351032,366145,335767,48452,50498,46330,98911,102980,94997,1715,1824,1601,530259,553244,507179,2765,2917,2620,"India"
2020-06-02,99318,103751,95117,370372,386065,354445,50340,52496,48154,104201,108514,100122,1807,1921,1689,564416,588809,539871,2932,3083,2776,"India"
2020-06-03,102749,107240,98432,388417,405114,371707,52189,54468,49945,109683,114167,105475,1901,2019,1780,600436,626510,574425,3107,3270,2947,"India"
2020-06-04,106159,110905,101682,405727,422875,388137,54033,56300,51672,115352,120076,110842,1999,2121,1871,638177,665608,610707,3289,3456,3123,"India"
2020-06-05,109577,114521,104802,422707,440477,404423,55894,58265,53513,121209,126260,116462,2100,2222,1975,677568,706566,648889,3479,3654,3301,"India"
2020-06-06,113072,118202,108172,439589,458208,420713,57788,60266,55324,127251,132529,122222,2205,2336,2069,718608,749314,688355,3676,3862,3492,"India"
2020-06-07,116657,121852,111547,456567,476031,436756,59735,62331,57253,133487,139038,128209,2313,2447,2171,761272,793844,729237,3881,4071,3693,"India"
2020-06-08,120355,125731,114929,473823,494038,453522,61737,64392,59094,139924,145654,134421,2424,2564,2289,805563,839818,771649,4093,4288,3894,"India"
2020-06-09,124173,129590,118610,491418,512030,470436,63793,66556,61074,146569,152626,140779,2539,2674,2398,851534,888108,815570,4313,4513,4107,"India"
2020-06-10,128131,133779,122409,509407,531197,487720,65930,68836,63058,153421,159750,147272,2658,2801,2510,899204,937812,860939,4541,4749,4313,"India"
2020-06-11,132238,138059,126346,527937,550343,505231,68143,71150,65203,160494,167122,154146,2780,2934,2619,948607,989463,907799,4776,4995,4548,"India"
2020-06-12,136516,142565,130586,547014,570052,523063,70427,73537,67383,167787,174739,161157,2906,3053,2746,999795,1042592,956765,5022,5260,4780,"India"
2020-06-13,140952,147284,134740,566680,590373,541911,72797,76075,69641,175316,182663,168396,3036,3189,2871,1052827,1097674,1007220,5274,5518,5019,"India"
2020-06-14,145550,152144,139156,586958,611267,561143,75255,78594,71984,183094,190734,175975,3170,3331,3003,1107758,1154797,1059877,5535,5783,5268,"India"
2020-06-15,150329,157187,143806,607867,633057,580767,77797,81221,74364,191127,199039,183693,3309,3481,3130,1164655,1213925,1114794,5805,6079,5524,"India"
2020-06-16,155298,162278,148477,629465,656024,601427,80435,84007,76998,199420,207670,191774,3453,3636,3271,1223551,1275111,1171032,6087,6366,5789,"India"
2020-06-17,160453,167709,153272,651760,679437,622683,83168,86849,79612,207991,216693,199966,3601,3790,3414,1284554,1338672,1229230,6376,6668,6057,"India"
2020-06-18,165793,173152,158441,674815,703563,644435,85996,89735,82337,216850,225912,208446,3754,3951,3554,1347723,1404785,1289905,6676,6986,6350,"India"
2020-06-19,171343,178853,163693,698640,728518,667028,88915,92807,85132,225997,235507,217212,3912,4108,3697,1413111,1473197,1352349,6987,7300,6651,"India"
2020-06-20,177098,184828,169200,723280,753981,690330,91949,95913,88061,235450,245421,226331,4076,4292,3853,1480784,1543921,1417075,7309,7626,6963,"India"
2020-06-21,183061,191044,175001,748757,781020,714927,95096,99233,91064,245227,255783,235591,4245,4466,4023,1550854,1617022,1483848,7643,7987,7281,"India"
2020-06-22,189253,197584,180826,775101,808720,740023,98354,102629,94141,255323,266390,245274,4421,4648,4197,1623377,1692289,1552904,7988,8346,7616,"India"
2020-06-23,195660,204425,186936,802316,837576,766252,101714,106159,97447,265762,277299,255346,4602,4833,4364,1698457,1770259,1624792,8345,8720,7972,"India"
2020-06-24,202299,211384,193313,830448,866798,793172,105200,109763,100811,276560,288657,265750,4789,5031,4532,1776189,1850939,1699001,8714,9124,8318,"India"
2020-06-25,209181,218499,199968,859592,897241,820679,108815,113570,104200,287729,300290,276446,4982,5237,4727,1856606,1934999,1775856,9096,9518,8681,"India"
2020-06-26,216314,225841,206665,889706,928541,849681,112560,117466,107703,299263,312467,287520,5182,5437,4913,1939854,2021371,1855201,9491,9935,9062,"India"
2020-06-27,223700,233497,213705,920850,961326,879055,116428,121457,111393,311200,325008,298875,5389,5655,5125,2026012,2111327,1937434,9899,10343,9451,"India"
2020-06-28,231355,241557,221328,953016,994910,909803,120435,125576,115211,323546,337838,310746,5601,5878,5314,2115198,2204460,2022498,10321,10786,9871,"India"
2020-06-29,239280,249708,228801,986317,1029604,941828,124576,129960,119133,336311,351225,323001,5822,6112,5532,2207479,2300745,2110305,10759,11251,10292,"India"
