area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,Total Infections Mean,Total UpperCI Infections,Total LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Total ExpDeaths Mean,Total UpperCI ExpDeaths,Total LowerCI ExpDeaths,Observed Deaths
India,15/03/2020,3.056,3.609,2.554,3820,6063,2380,21632,34333,13568,0,2,0,2,5,0,0
India,16/03/2020,2.563,3.04,2.163,3861,6072,2515,25493,40279,16203,0,2,0,2,6,0,0
India,17/03/2020,2.563,3.04,2.163,4645,7332,3006,30139,47453,19247,0,2,0,3,7,1,1
India,18/03/2020,2.563,3.04,2.163,5504,8736,3553,35643,56146,22969,0,3,0,4,8,1,0
India,19/03/2020,2.563,3.04,2.163,6469,10372,4144,42113,66051,27255,1,3,0,5,10,2,1
India,20/03/2020,2.563,3.04,2.163,7584,12167,4821,49697,77849,32319,1,3,0,6,12,2,0
India,21/03/2020,2.563,3.04,2.163,8886,14365,5576,58584,91977,38081,1,4,0,8,14,3,0
India,22/03/2020,2.563,3.04,2.163,10415,16952,6417,69000,108908,44725,1,4,0,9,17,4,3
India,23/03/2020,1.801,2.096,1.51,8490,13284,5575,77491,121900,50445,2,5,0,12,20,6,2
India,24/03/2020,1.8,2.096,1.51,9820,15421,6379,87311,137583,57036,2,6,0,14,23,8,1
India,25/03/2020,1.8,2.096,1.51,11063,17525,7150,98375,154402,64455,3,7,0,18,27,10,1
India,26/03/2020,1.8,2.096,1.51,12267,19490,7878,110643,173026,72371,3,8,1,21,32,13,5
India,27/03/2020,1.8,2.096,1.51,13509,21546,8624,124153,194047,81312,4,9,1,26,38,16,3
India,28/03/2020,1.8,2.096,1.51,14842,23707,9377,138995,217297,91208,5,10,1,31,44,20,5
India,29/03/2020,1.8,2.096,1.51,16299,26353,10155,155295,242246,101970,6,11,2,37,52,25,3
India,30/03/2020,1.325,1.555,1.077,13050,20818,8541,168345,262855,111008,7,13,3,44,61,31,14
India,31/03/2020,1.325,1.555,1.077,14201,22762,9230,182546,285376,120513,8,14,3,53,71,37,6
India,01/04/2020,1.325,1.555,1.077,15169,24322,9799,197715,309743,130915,9,16,4,62,82,45,6
India,02/04/2020,1.325,1.555,1.077,15999,25749,10245,213715,335450,141908,10,18,5,73,95,54,16
India,03/04/2020,1.325,1.555,1.077,16768,27121,10618,230484,361220,153361,12,21,6,86,109,64,14
India,04/04/2020,1.325,1.555,1.077,17529,28507,10982,248014,387857,164654,13,23,7,99,126,76,13
India,05/04/2020,1.325,1.555,1.077,18311,29907,11293,266325,418826,177000,15,25,8,115,144,90,22
India,06/04/2020,1.319,1.544,1.112,18883,29858,12462,285209,448279,190013,17,27,9,133,164,104,16
India,07/04/2020,1.319,1.544,1.112,19685,31190,12984,304895,478597,203140,19,30,10,152,187,121,27
India,08/04/2020,1.319,1.544,1.112,20526,32549,13460,325421,511434,217668,21,33,11,173,211,139,20
India,09/04/2020,1.319,1.544,1.112,21407,34016,13920,346828,546026,231961,23,36,13,197,238,160,46
India,10/04/2020,1.319,1.544,1.112,22328,35515,14386,369157,581698,246577,25,39,14,222,267,182,22
India,11/04/2020,1.319,1.544,1.112,23293,37213,14849,392451,617401,262256,27,42,16,250,298,206,41
India,12/04/2020,1.319,1.544,1.112,24304,38837,15287,416755,654815,278627,29,44,17,279,332,232,42
India,13/04/2020,1.379,1.643,1.156,26294,41438,17350,443050,692956,296403,31,48,18,311,366,261,27
India,14/04/2020,1.378,1.643,1.156,27431,43515,18066,470482,737413,315235,33,50,20,344,403,291,37
India,15/04/2020,1.378,1.643,1.156,28707,45619,18793,499189,783228,335249,36,54,21,380,443,323,27
India,16/04/2020,1.378,1.643,1.156,30108,47890,19500,529297,829582,355674,38,57,23,419,487,358,26
India,17/04/2020,1.378,1.643,1.156,31614,50495,20232,560912,882200,376950,40,60,24,460,530,394,38
India,18/04/2020,1.378,1.643,1.156,33217,53511,20955,594130,933780,399808,43,63,25,503,578,432,35
India,19/04/2020,1.378,1.643,1.156,34911,56615,21682,629041,987746,422026,44,66,27,548,628,473,38
India,20/04/2020,1.212,1.438,1.006,31978,50399,20825,661020,1035960,445580,47,71,29,596,679,516,33
India,21/04/2020,1.212,1.437,1.006,33462,52649,21754,694482,1088499,468234,49,73,30,646,735,561,53
India,22/04/2020,1.212,1.437,1.006,34777,54567,22442,729259,1139033,491547,52,77,32,698,793,610,36
India,23/04/2020,1.212,1.437,1.006,35967,56690,22983,765227,1194573,515266,55,80,34,754,852,661,40
India,24/04/2020,1.212,1.437,1.006,37104,58813,23443,802331,1256459,539681,57,84,35,812,916,713,59
India,25/04/2020,1.212,1.437,1.006,38237,60870,23854,840568,1316723,565245,60,88,37,872,984,765,44
India,26/04/2020,1.212,1.437,1.006,39390,63032,24202,879958,1378131,590932,63,92,39,936,1055,824,56
India,27/04/2020,1.128,1.328,0.93,37463,59408,24404,917422,1434883,616300,66,97,41,1003,1127,885,58
India,28/04/2020,1.128,1.328,0.93,38474,61034,24998,955897,1494546,641817,70,101,43,1073,1202,950,69
India,29/04/2020,1.128,1.328,0.93,39381,62483,25399,995278,1552808,668104,72,105,46,1146,1282,1016,71
India,30/04/2020,1.128,1.328,0.93,40209,63923,25717,1035487,1611862,695026,76,110,47,1222,1366,1087,75
India,01/05/2020,1.128,1.327,0.93,41000,65316,25871,1076488,1675225,721794,79,113,50,1301,1453,1160,77
India,02/05/2020,1.128,1.327,0.929,41785,66910,26092,1118274,1738903,749363,81,117,51,1383,1537,1233,92
India,03/05/2020,1.128,1.327,0.929,42581,68219,26111,1160856,1804363,777858,85,121,54,1468,1633,1316,140
India,04/05/2020,1.235,1.451,1.031,47102,74345,30955,1207958,1877775,809648,88,128,56,1557,1728,1396,103
India,05/05/2020,1.235,1.451,1.031,48023,75997,31492,1255981,1950658,841398,91,130,58,1648,1824,1483,128
India,06/05/2020,1.235,1.451,1.031,49224,78206,32034,1305206,2023192,875241,95,136,60,1744,1925,1571,91
