area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Observed Deaths
India,15/03/2020,3.163,3.766,2.647,11501,17137,7640,0,2,0,0
India,16/03/2020,2.628,3.105,2.208,11587,16797,8140,0,2,0,0
India,17/03/2020,2.628,3.105,2.208,14029,20480,9812,0,2,0,1
India,18/03/2020,2.628,3.105,2.208,16711,24441,11622,0,3,0,0
India,19/03/2020,2.628,3.105,2.208,19737,29062,13646,0,3,0,1
India,20/03/2020,2.628,3.105,2.208,23246,34483,15910,1,3,0,0
India,21/03/2020,2.628,3.105,2.208,27367,40852,18549,1,4,0,0
India,22/03/2020,2.628,3.105,2.208,32228,48732,21557,1,4,0,3
India,23/03/2020,1.803,2.122,1.494,25783,36818,18149,2,5,0,2
India,24/03/2020,1.803,2.122,1.494,29933,42888,21038,2,6,0,1
India,25/03/2020,1.803,2.121,1.494,33789,48811,23571,3,7,0,1
India,26/03/2020,1.803,2.121,1.494,37502,54593,25836,3,7,1,5
India,27/03/2020,1.803,2.121,1.494,41319,60742,28103,4,9,1,3
India,28/03/2020,1.803,2.121,1.494,45414,67255,30413,5,10,1,5
India,29/03/2020,1.803,2.121,1.494,49893,74727,32782,6,11,2,3
India,30/03/2020,1.314,1.553,1.073,39622,57317,27807,7,13,3,14
India,31/03/2020,1.314,1.553,1.073,43115,62578,30063,8,14,3,6
India,01/04/2020,1.314,1.553,1.073,46031,67025,31846,9,16,4,6
India,02/04/2020,1.314,1.553,1.073,48511,71114,33180,10,18,5,16
India,03/04/2020,1.314,1.553,1.073,50792,74953,34257,12,20,6,14
India,04/04/2020,1.314,1.553,1.073,53038,78742,35067,13,23,7,13
India,05/04/2020,1.314,1.553,1.073,55338,82874,35731,15,25,8,22
India,06/04/2020,1.32,1.549,1.101,57415,82333,40502,17,27,9,16
India,07/04/2020,1.32,1.549,1.101,59795,86083,41889,19,30,10,27
India,08/04/2020,1.319,1.549,1.1,62316,90052,43286,21,33,11,20
India,09/04/2020,1.319,1.549,1.1,64974,94346,44623,23,36,13,46
India,10/04/2020,1.319,1.549,1.1,67765,98789,45965,25,39,14,22
India,11/04/2020,1.319,1.548,1.1,70692,103764,47198,27,42,16,41
India,12/04/2020,1.319,1.548,1.1,73759,108508,48639,29,45,17,42
India,13/04/2020,1.38,1.654,1.15,79805,115646,56658,31,48,18,27
India,14/04/2020,1.38,1.654,1.149,83246,120761,58963,33,51,20,37
India,15/04/2020,1.38,1.654,1.149,87114,127234,61378,36,54,21,27
India,16/04/2020,1.38,1.654,1.149,91365,134322,63939,38,57,23,26
India,17/04/2020,1.379,1.654,1.149,95937,141230,66284,40,60,24,38
India,18/04/2020,1.379,1.654,1.149,100803,149898,68298,43,63,26,35
India,19/04/2020,1.379,1.654,1.149,105943,159354,70607,45,67,27,38
India,20/04/2020,1.216,1.44,1.009,97428,139667,68775,47,71,29,33
India,21/04/2020,1.216,1.44,1.009,101955,146753,71762,49,73,30,53
India,22/04/2020,1.216,1.44,1.009,105986,153239,73995,52,77,32,36
India,23/04/2020,1.216,1.44,1.009,109653,158858,75583,55,81,34,40
India,24/04/2020,1.216,1.44,1.009,113166,165286,77133,58,84,35,59
India,25/04/2020,1.216,1.44,1.009,116672,171117,78661,60,88,37,44
India,26/04/2020,1.216,1.44,1.008,120243,178775,79868,63,93,38,56
India,27/04/2020,1.122,1.322,0.916,113297,163494,79463,66,97,41,58
India,28/04/2020,1.122,1.322,0.916,116386,168606,81356,70,102,43,69
India,29/04/2020,1.122,1.322,0.916,119104,173123,82501,72,105,46,71
India,30/04/2020,1.122,1.321,0.916,121543,176752,83461,76,110,47,75
India,01/05/2020,1.122,1.321,0.916,123845,181585,83955,79,114,50,77
India,02/05/2020,1.122,1.321,0.916,126113,186180,84172,81,118,51,92
India,03/05/2020,1.122,1.321,0.916,128406,190087,84416,85,122,54,140
India,04/05/2020,1.236,1.45,1.03,142995,205526,99753,89,126,56,103
India,05/05/2020,1.236,1.45,1.03,145664,209623,101134,91,131,58,128
India,06/05/2020,1.235,1.45,1.029,149244,215926,102777,95,135,60,91
India,07/05/2020,1.235,1.449,1.029,153558,224022,104950,98,141,62,104
India,08/05/2020,1.235,1.449,1.029,158360,232486,107182,102,146,66,97
India,09/05/2020,1.235,1.449,1.029,163493,242799,109572,106,152,68,115
India,10/05/2020,1.235,1.449,1.029,168885,254073,111140,108,154,69,112
India,11/05/2020,1.431,1.664,1.206,200347,289983,143056,110,159,71,81
India,12/05/2020,1.431,1.664,1.206,207383,301214,147423,114,165,72,120
India,13/05/2020,1.431,1.664,1.206,216632,316591,152971,118,167,76,137
India,14/05/2020,1.431,1.663,1.206,227733,334240,159454,120,172,78,97
India,15/05/2020,1.43,1.663,1.205,240174,353774,165481,123,175,80,104
India,16/05/2020,1.43,1.663,1.205,253652,375993,172901,128,182,83,120
India,17/05/2020,1.43,1.662,1.205,268028,399118,180228,131,186,84,152
India,18/05/2020,1.514,1.767,1.283,297820,432477,213224,135,192,89,131
India,19/05/2020,1.514,1.767,1.283,314760,457598,224873,138,196,88,146
India,20/05/2020,1.513,1.766,1.283,333991,487707,236978,142,204,94,134
India,21/05/2020,1.513,1.766,1.283,355344,520838,250560,147,208,94,148
India,22/05/2020,1.513,1.765,1.282,378564,556059,263597,152,216,100,142
India,23/05/2020,1.512,1.765,1.282,403543,595603,278076,158,225,103,142
India,24/05/2020,1.512,1.764,1.281,430284,637964,292579,164,231,108,156
India,25/05/2020,1.314,1.553,1.101,396014,571554,280447,171,240,111,150
India,26/05/2020,1.314,1.553,1.101,420287,607013,296542,178,249,117,173
India,27/05/2020,1.314,1.552,1.1,442516,642745,310861,186,263,122,188
India,28/05/2020,1.313,1.552,1.1,463344,677420,321797,195,273,127,176
India,29/05/2020,1.313,1.551,1.1,483785,712358,331444,204,286,134,269
India,30/05/2020,1.312,1.551,1.099,504548,748563,341237,216,307,140,205
India,31/05/2020,1.312,1.55,1.099,526050,789480,349861,227,320,150,222
