area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,Total Infections Mean,Total UpperCI Infections,Total LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Total ExpDeaths Mean,Total UpperCI ExpDeaths,Total LowerCI ExpDeaths,Observed Deaths
India,03/05/2020,1.114,1.311,0.916,127157,188038,84495,3508707,4968934,2575853,85,120,54,1468,1626,1318,140
India,04/05/2020,1.23,1.447,1.021,141625,205125,101102,3650332,5166123,2680834,89,126,57,1557,1723,1401,103
India,05/05/2020,1.23,1.447,1.021,144131,208766,102513,3794463,5372588,2784478,91,130,59,1649,1822,1486,128
India,06/05/2020,1.23,1.447,1.021,147542,214022,104086,3942006,5576989,2892797,95,135,62,1744,1929,1574,91
India,07/05/2020,1.23,1.447,1.021,151680,221345,106147,4093687,5794622,3005208,98,140,63,1843,2031,1671,104
India,08/05/2020,1.23,1.447,1.021,156298,229785,107981,4249986,6023763,3122757,102,144,67,1946,2138,1766,97
India,09/05/2020,1.229,1.447,1.02,161237,238577,109712,4411223,6253831,3237891,106,150,69,2052,2251,1867,115
India,10/05/2020,1.229,1.447,1.02,166426,247666,110937,4577650,6491068,3356609,108,151,71,2160,2366,1963,112
India,11/05/2020,1.431,1.671,1.202,198322,282884,141664,4775972,6764227,3508280,111,156,72,2271,2488,2069,81
India,12/05/2020,1.431,1.671,1.202,205139,292815,146110,4981112,7054275,3663373,115,163,74,2386,2613,2176,120
India,13/05/2020,1.431,1.671,1.202,214202,306617,151674,5195314,7365014,3820854,118,165,78,2505,2739,2286,137
India,14/05/2020,1.43,1.67,1.202,225138,323994,157699,5420453,7677639,3991573,121,170,80,2626,2867,2401,97
India,15/05/2020,1.43,1.67,1.202,237422,343914,164935,5657875,8005320,4157633,123,174,81,2750,2998,2514,104
India,16/05/2020,1.43,1.67,1.202,250738,366602,172825,5908614,8342098,4343499,127,178,83,2877,3137,2633,120
India,17/05/2020,1.43,1.669,1.201,264944,389810,179635,6173559,8708054,4532874,131,183,87,3009,3279,2752,152
India,18/05/2020,1.525,1.781,1.296,296540,424933,215046,6470099,9121552,4755474,135,190,90,3144,3418,2880,131
India,19/05/2020,1.525,1.78,1.295,313466,449741,225947,6783566,9558434,4991961,137,193,88,3282,3567,3009,146
India,20/05/2020,1.525,1.78,1.295,332837,477017,238938,7116404,10039384,5235805,142,201,95,3425,3720,3143,134
India,21/05/2020,1.524,1.78,1.295,354462,509650,252647,7470866,10544513,5503303,146,204,96,3572,3876,3288,148
India,22/05/2020,1.524,1.779,1.295,378050,545280,266809,7848916,11071150,5792440,152,213,101,3724,4040,3429,142
India,23/05/2020,1.524,1.779,1.294,403473,588707,280378,8252390,11647696,6104071,157,221,104,3882,4211,3575,142
India,24/05/2020,1.523,1.778,1.294,430727,632869,295400,8683118,12264956,6415025,164,229,110,4046,4383,3729,156
India,25/05/2020,1.321,1.561,1.109,395847,568761,284990,9078966,12818571,6709211,170,237,112,4217,4568,3897,150
India,26/05/2020,1.32,1.561,1.109,420565,603739,301777,9499531,13406811,7026237,177,245,117,4394,4754,4062,173
India,27/05/2020,1.32,1.56,1.109,443213,638597,315948,9942745,14026573,7349761,186,263,123,4581,4956,4234,188
India,28/05/2020,1.319,1.56,1.109,464447,675563,327864,10407192,14703599,7704667,194,270,130,4776,5161,4414,176
India,29/05/2020,1.319,1.559,1.108,485301,711051,337017,10892494,15388815,8054001,204,283,136,4980,5380,4606,269
India,30/05/2020,1.319,1.558,1.108,506500,745879,345761,11398994,16130839,8431988,215,302,144,5195,5610,4808,205
India,31/05/2020,1.318,1.558,1.108,528468,787027,354100,11927463,16889761,8817440,227,316,150,5423,5863,5021,222
India,01/06/2020,0.95,1.123,0.771,394411,564731,279015,12321874,17420422,9109390,238,334,162,5661,6114,5235,201
India,02/06/2020,0.95,1.123,0.771,408143,587392,288082,12730017,18012755,9413712,250,347,169,5912,6381,5477,222
India,03/06/2020,0.95,1.123,0.771,415623,598289,291273,13145641,18554866,9719730,264,367,177,6176,6666,5724,259
India,04/06/2020,0.949,1.122,0.77,418163,603143,290327,13563805,19165123,10013497,277,386,186,6453,6964,5980,274
India,05/06/2020,0.949,1.122,0.77,417816,606996,286231,13981621,19769465,10320210,292,403,199,6746,7267,6256,286
India,06/06/2020,0.949,1.122,0.77,416045,610910,280328,14397667,20354371,10624497,308,430,206,7054,7592,6535,297
India,07/06/2020,0.948,1.121,0.77,413706,612086,274747,14811373,20934104,10937963,322,448,216,7376,7942,6832,261
India,08/06/2020,0.864,1.029,0.695,371377,534910,260894,15182751,21458405,11215071,336,467,226,7713,8298,7158,271
India,09/06/2020,0.864,1.029,0.695,367887,532189,257105,15550639,21948386,11494341,352,489,235,8066,8661,7483,272
India,10/06/2020,0.863,1.029,0.695,363057,529291,252203,15913696,22457765,11760104,366,507,249,8433,9052,7826,358
India,11/06/2020,0.863,1.028,0.695,357227,523854,245493,16270924,22981643,12015833,382,527,255,8815,9472,8175,394
India,12/06/2020,0.863,1.028,0.694,350877,517945,237070,16621802,23463903,12276299,396,551,265,9211,9899,8553,388
India,13/06/2020,0.863,1.028,0.694,344347,512763,229065,16966150,23940622,12522613,406,556,271,9617,10335,8933,309
India,14/06/2020,0.863,1.028,0.694,337848,509093,219524,17303998,24441024,12766540,417,576,284,10035,10782,9317,324
India,15/06/2020,1.065,1.266,0.884,405387,583098,288428,17709385,25015354,13060929,427,587,290,10462,11235,9736,396
India,16/06/2020,1.065,1.266,0.884,398404,575871,282719,18107790,25589350,13358946,436,601,292,10898,11704,10150,2004
India,17/06/2020,1.064,1.266,0.884,395728,574707,278101,18503518,26140066,13649884,443,609,302,11342,12170,10570,341
India,18/06/2020,1.064,1.265,0.884,396313,577995,275035,18899832,26701327,13968912,449,616,305,11791,12641,10994,343
India,19/06/2020,1.064,1.265,0.883,398770,584044,273202,19298603,27261426,14266722,456,631,306,12248,13113,11419,364
India,20/06/2020,1.063,1.264,0.883,402175,591293,272067,19700779,27787279,14551844,460,632,308,12708,13594,11872,308
India,21/06/2020,1.063,1.264,0.883,405985,599981,270491,20106764,28376900,14838757,460,630,311,13168,14104,12296,426
India,22/06/2020,1.254,1.488,1.049,479650,685863,344593,20586415,29009831,15194363,463,640,313,13631,14587,12730,312
India,23/06/2020,1.254,1.487,1.048,485305,695079,347515,21071720,29693802,15578066,467,644,314,14099,15088,13179,468
India,24/06/2020,1.253,1.487,1.048,495698,710683,352614,21567419,30378621,15938852,465,635,317,14564,15572,13606,424
India,25/06/2020,1.253,1.486,1.048,509808,733654,359197,22077227,31089384,16335216,465,645,313,15030,16066,14064,401
India,26/06/2020,1.253,1.485,1.047,526250,761499,366701,22603478,31832960,16713153,464,643,315,15494,16558,14482,381
India,27/06/2020,1.252,1.485,1.047,544141,796194,374924,23147619,32642561,17110807,466,641,314,15960,17030,14935,414
India,28/06/2020,1.252,1.484,1.047,562906,834450,381552,23710526,33444797,17535849,465,644,315,16426,17522,15392,384
India,29/06/2020,1.266,1.496,1.061,585365,838760,419207,24295891,34279030,17953561,465,647,313,16891,18009,15835,417
India,30/06/2020,1.265,1.495,1.061,604990,869938,432077,24900881,35116208,18405144,467,648,316,17359,18508,16284,506
India,01/07/2020,1.264,1.494,1.06,625952,906534,443095,25526833,36042352,18857683,466,644,313,17825,19001,16719,438
India,02/07/2020,1.264,1.493,1.06,648119,942095,454777,26174953,36925820,19331935,471,655,320,18296,19504,17170,378
India,03/07/2020,1.263,1.492,1.06,671338,984380,466294,26846291,37863238,19822501,474,651,321,18770,19994,17626,444
India,04/07/2020,1.263,1.491,1.059,695543,1026490,477638,27541835,38772374,20331693,479,658,324,19249,20533,18086,611
India,05/07/2020,1.262,1.49,1.059,720700,1077033,487782,28262535,39695085,20857770,480,663,325,19730,21019,18529,421
India,06/07/2020,1.154,1.362,0.951,676802,972990,486372,28939337,40610012,21372435,486,674,328,20216,21530,18995,473
India,07/07/2020,1.154,1.361,0.951,698805,999175,500580,29638143,41620334,21878055,497,684,333,20713,22057,19474,479
India,08/07/2020,1.153,1.36,0.95,718301,1027907,511364,30356444,42616137,22415108,506,699,340,21220,22594,19962,492
India,09/07/2020,1.152,1.36,0.95,735902,1057741,518042,31092346,43652621,22952049,510,702,345,21731,23122,20438,479
India,10/07/2020,1.152,1.359,0.949,752582,1092609,524392,31844929,44769155,23508700,522,716,352,22253,23650,20929,520
India,11/07/2020,1.151,1.358,0.949,769031,1124544,529609,32613960,45800517,24093112,536,735,366,22790,24233,21444,543
India,12/07/2020,1.15,1.357,0.948,785708,1160895,531089,33399669,46979806,24657730,547,749,374,23338,24768,21957,500
India,13/07/2020,1.074,1.263,0.892,743944,1068457,534942,34143613,47965525,25220681,561,775,384,23899,25353,22521,541
India,14/07/2020,1.073,1.262,0.892,757599,1086651,543170,34901213,49073912,25792718,576,785,395,24476,25954,23081,587
India,15/07/2020,1.073,1.261,0.892,769106,1106828,548578,35670320,50205599,26340085,590,810,399,25066,26575,23652,614
India,16/07/2020,1.072,1.26,0.891,778940,1124039,550984,36449260,51354940,26918456,600,830,405,25667,27193,24222,680
India,17/07/2020,1.071,1.26,0.891,787850,1143218,551280,37237110,52518508,27540420,618,847,418,26286,27835,24825,676
India,18/07/2020,1.071,1.259,0.89,796378,1156569,551136,38033488,53693333,28164840,636,879,425,26922,28501,25427,543
India,19/07/2020,1.07,1.258,0.89,804889,1176132,549708,38838378,54790418,28783392,651,898,440,27574,29199,26030,675
India,20/07/2020,1.059,1.255,0.88,799429,1143394,571289,39637807,55938579,29359620,666,913,454,28241,29882,26669,596
India,21/07/2020,1.058,1.254,0.88,806397,1155670,574109,40444205,57095767,29954586,685,948,459,28926,30595,27324,671
India,22/07/2020,1.058,1.253,0.879,813364,1171842,575491,41257569,58217155,30555265,698,964,468,29624,31343,27993,1130
India,23/07/2020,1.057,1.253,0.878,820310,1188489,575543,42077880,59468000,31165978,713,978,479,30338,32103,28664,755
India,24/07/2020,1.056,1.252,0.878,827267,1206720,572889,42905148,60691704,31823281,730,1004,497,31068,32857,29360,763
India,25/07/2020,1.056,1.251,0.878,834284,1224697,569867,43739432,61783258,32422575,744,1017,505,31813,33642,30071,703
India,26/07/2020,1.055,1.25,0.877,841409,1243406,566281,44580842,63029039,33011367,762,1063,517,32576,34436,30799,704
India,27/07/2020,1.01,1.198,0.835,806875,1161345,573469,45387717,64159791,33634005,771,1059,519,33347,35263,31553,642
India,28/07/2020,1.009,1.197,0.835,811772,1172344,574829,46199489,65278024,34209802,787,1078,530,34134,36077,32306,774
India,29/07/2020,1.009,1.196,0.834,815315,1179736,572387,47014805,66436393,34790147,798,1105,537,34933,36935,33075,775
India,30/07/2020,1.008,1.195,0.834,817780,1189845,568762,47832586,67606509,35389566,810,1127,556,35744,37742,33839,784
India,31/07/2020,1.007,1.194,0.834,819623,1196493,563287,48652209,68860466,36030601,823,1132,561,36568,38587,34646,764
India,01/08/2020,1.007,1.193,0.833,821184,1206892,556208,49473393,70035618,36636279,838,1149,571,37407,39474,35432,854
India,02/08/2020,1.006,1.192,0.833,822618,1218182,550519,50296012,71214233,37218296,852,1173,580,38259,40382,36240,760
India,03/08/2020,0.99,1.177,0.813,805279,1155781,570416,51101291,72274919,37818742,859,1176,586,39118,41284,37056,806
India,04/08/2020,0.99,1.176,0.812,805100,1156879,568528,51906391,73364382,38405565,870,1196,589,39989,42187,37892,849
India,05/08/2020,0.989,1.175,0.812,804685,1157795,564762,52711077,74540618,38996920,881,1205,596,40871,43155,38733,919
India,06/08/2020,0.989,1.175,0.811,804062,1163555,559002,53515139,75620373,39567342,891,1225,599,41762,44099,39564,899
India,07/08/2020,0.988,1.174,0.811,803318,1166067,551957,54318458,76765095,40172364,896,1228,616,42659,45018,40415,936
India,08/08/2020,0.987,1.173,0.81,802543,1170017,544281,55121001,77843950,40742214,910,1257,623,43570,45986,41296,875
India,09/08/2020,0.987,1.172,0.81,801760,1179183,533501,55922761,78920754,41307780,911,1259,621,44482,46910,42170,1013
India,10/08/2020,1.037,1.227,0.857,834650,1188577,592337,56757412,80151544,41919206,918,1259,630,45400,47870,43060,887
India,11/08/2020,1.036,1.226,0.856,833194,1193750,588570,57590606,81351519,42501185,922,1273,625,46323,48812,43951,835
India,12/08/2020,1.036,1.225,0.856,834085,1195492,584850,58424692,82605848,43137246,929,1269,634,47252,49794,44845,950
India,13/08/2020,1.035,1.224,0.855,836742,1202327,580006,59261434,83838342,43748254,929,1274,634,48182,50775,45770,1006
India,14/08/2020,1.034,1.223,0.855,840417,1213619,574468,60101852,84965013,44383492,938,1291,634,49121,51768,46639,989
India,15/08/2020,1.034,1.223,0.855,844623,1231835,567751,60946476,86124977,45032038,940,1290,641,50062,52732,47550,952
India,16/08/2020,1.033,1.222,0.854,849103,1248672,563099,61795579,87227262,45667377,942,1292,636,51004,53694,48459,952
India,17/08/2020,1.116,1.325,0.929,916597,1331623,652171,62712176,88561428,46328230,944,1302,636,51949,54683,49368,880
India,18/08/2020,1.116,1.325,0.929,921358,1332512,654295,63633535,89829536,46992449,947,1289,645,52897,55660,50260,1099
India,19/08/2020,1.115,1.324,0.928,930306,1348068,656080,64563841,91106761,47688651,953,1297,650,53850,56709,51169,979
India,20/08/2020,1.114,1.323,0.927,942454,1372714,659298,65506295,92413468,48361001,958,1305,657,54809,57688,52096,981
India,21/08/2020,1.113,1.322,0.927,956501,1410687,658103,66462796,93731089,49090849,947,1288,640,55756,58669,53024,953
India,22/08/2020,1.112,1.321,0.926,971605,1444116,661566,67434401,95153556,49774204,957,1312,651,56713,59694,53971,918
India,23/08/2020,1.112,1.32,0.926,987303,1478742,662652,68421704,96608233,50551670,963,1315,663,57676,60655,54888,846
India,24/08/2020,1.107,1.313,0.92,991093,1420948,708636,69412798,98000005,51286826,956,1312,650,58632,61629,55780,854
India,25/08/2020,1.106,1.312,0.919,1005488,1445643,716768,70418287,99401064,52023899,959,1325,658,59592,62675,56684,1066
India,26/08/2020,1.105,1.311,0.918,1020231,1471813,721883,71438519,100804247,52778813,969,1333,652,60562,63688,57629,1017
India,27/08/2020,1.104,1.31,0.918,1035236,1500729,726384,72473756,102285338,53582138,970,1327,661,61532,64697,58556,1066
India,28/08/2020,1.103,1.309,0.917,1050469,1525884,726253,73524225,103813834,54375487,977,1327,665,62510,65655,59494,1019
India,29/08/2020,1.102,1.308,0.917,1065945,1553134,727906,74590171,105345924,55201107,976,1330,663,63487,66681,60445,943
India,30/08/2020,1.101,1.307,0.916,1081683,1584338,730220,75671855,106939868,56010331,983,1365,672,64470,67693,61407,960
India,31/08/2020,0.991,1.178,0.812,980766,1406087,696635,76652621,108267741,56709759,992,1360,674,65463,68706,62378,816
India,01/09/2020,0.991,1.177,0.811,991593,1421430,705294,77644214,109670812,57435149,998,1373,684,66462,69737,63318,892
India,02/09/2020,0.99,1.176,0.811,997769,1433936,704951,78641984,111078409,58150895,1008,1381,682,67470,70773,64312,913
India,03/09/2020,0.989,1.175,0.81,1000296,1449864,697907,79642281,112370759,58873389,1021,1403,687,68492,71822,65288,979
India,04/09/2020,0.988,1.174,0.809,1000700,1457437,690992,80642982,113598223,59616114,1028,1407,690,69520,72873,66301,950
India,05/09/2020,0.988,1.173,0.809,1000072,1467887,680080,81643054,115092638,60371620,1041,1434,694,70562,74035,67278,916
India,06/09/2020,0.987,1.172,0.808,999064,1472502,668708,82642119,116430666,61112292,1051,1449,711,71613,75093,68312,1005
India,07/09/2020,0.9,1.069,0.743,904709,1312724,642746,83546829,117753510,61788579,1059,1460,716,72673,76147,69290,1129
India,08/09/2020,0.9,1.068,0.742,900639,1305611,638846,84447468,119010320,62436402,1067,1458,730,73741,77263,70295,1107
India,09/09/2020,0.899,1.067,0.741,893197,1297425,629932,85340666,120221460,63094795,1081,1472,741,74822,78378,71376,1168
India,10/09/2020,0.898,1.067,0.741,883163,1284861,619093,86223829,121531002,63779096,1091,1499,731,75913,79499,72420,1213
India,11/09/2020,0.898,1.066,0.74,871681,1271356,604302,87095511,122886485,64424007,1097,1512,747,77011,80609,73479,1202
India,12/09/2020,0.897,1.066,0.74,859577,1258333,586704,87955089,124260536,65042250,1110,1523,755,78121,81731,74565,1111
India,13/09/2020,0.897,1.065,0.74,847373,1252170,568346,88802462,125618152,65626191,1121,1534,758,79242,82928,75694,1140
India,14/09/2020,0.849,1.013,0.695,785141,1134230,559194,89587603,126737752,66223329,1126,1542,756,80369,84103,76764,1054
India,15/09/2020,0.849,1.012,0.694,771886,1116546,547282,90359490,127765348,66814040,1132,1552,772,81501,85238,77835,1281
India,16/09/2020,0.848,1.011,0.694,757380,1099652,532151,91116871,128748870,67334113,1135,1569,769,82636,86421,78968,1140
India,17/09/2020,0.848,1.011,0.694,741974,1082356,515904,91858846,129761974,67853423,1140,1562,774,83777,87595,80030,1175
India,18/09/2020,0.847,1.01,0.693,726190,1062893,500071,92585036,130678563,68375877,1141,1569,775,84918,88778,81130,1221
India,19/09/2020,0.847,1.009,0.693,710411,1049873,483258,93295447,131963130,68894037,1137,1563,765,86056,89974,82264,1149
India,20/09/2020,0.846,1.009,0.693,694858,1034603,465404,93990306,132834447,69401666,1139,1561,768,87195,91131,83356,1135
India,21/09/2020,0.807,0.966,0.657,643354,928358,456162,94633660,133773960,69846823,1141,1571,767,88336,92334,84471,1056
India,22/09/2020,0.807,0.965,0.656,627705,912071,442465,95261366,134604018,70292380,1134,1552,773,89471,93484,85527,1085
India,23/09/2020,0.806,0.965,0.656,611480,892713,428205,95872847,135410687,70755018,1128,1556,771,90599,94671,86640,1123
India,24/09/2020,0.806,0.964,0.656,594907,872963,412673,96467754,136202179,71185988,1120,1531,768,91720,95844,87737,1144
India,25/09/2020,0.805,0.963,0.655,578328,853387,395982,97046083,137012328,71631268,1113,1525,757,92834,97026,88801,1093
India,26/09/2020,0.805,0.963,0.655,561998,833279,380292,97608081,137901231,72132880,1105,1517,751,93939,98156,89878,1124
India,27/09/2020,0.805,0.962,0.655,545997,817993,364933,98154078,138535106,72569862,1090,1503,743,95030,99266,90969,1040
India,28/09/2020,0.804,0.962,0.655,530552,801839,348806,98684631,139214997,72937433,1082,1489,739,96112,100369,91996,775
India,29/09/2020,0.804,0.962,0.655,515598,786590,331647,99200230,140076802,73246180,1061,1468,718,97173,101453,93016,1178
India,30/09/2020,0.804,0.961,0.654,501140,774239,315936,99701370,140820491,73607142,1051,1449,717,98225,102545,94069,1179
India,01/10/2020,0.803,0.961,0.654,487172,761682,300550,100188542,141510606,74030338,1042,1439,709,99267,103621,95069,1099
India,02/10/2020,0.803,0.96,0.654,473680,750601,286061,100662223,142142823,74414674,1012,1403,682,100280,104630,96012,1068
India,03/10/2020,0.803,0.96,0.654,460648,740694,271706,101122871,142752921,74759230,997,1368,676,101277,105670,96991,937
India,04/10/2020,0.802,0.96,0.654,448004,728514,258157,101570876,143327469,75053795,982,1359,668,102259,106732,97969,903
India,05/10/2020,0.802,0.959,0.654,435854,717783,245531,102006730,143871249,75380340,961,1315,657,103221,107643,98942,886
India,06/10/2020,0.802,0.959,0.653,424106,711070,233594,102430837,144519760,75689773,943,1282,648,104165,108635,99847,990
India,07/10/2020,0.802,0.958,0.653,412747,702606,221404,102843584,145217106,75949384,922,1283,624,105087,109610,100761,963
India,08/10/2020,0.801,0.958,0.653,401764,692319,209161,103245349,145779030,76253992,903,1239,609,105990,110493,101604,967
India,09/10/2020,0.801,0.958,0.653,391146,683605,197580,103636495,146223500,76558020,885,1214,607,106876,111353,102533,929
India,10/10/2020,0.801,0.957,0.653,380879,672112,186847,104017375,146719220,76796526,857,1181,579,107734,112266,103337,921
India,11/10/2020,0.801,0.957,0.653,370923,663897,177615,104388298,147249662,77136473,840,1155,572,108575,113120,104175,813
India,12/10/2020,0.8,0.956,0.653,361328,656992,168966,104749627,147854589,77412275,823,1129,551,109399,113985,104950,710
India,13/10/2020,0.8,0.956,0.653,352043,649224,159450,105101670,148266884,77636238,805,1112,541,110204,114785,105724,727
India,14/10/2020,0.8,0.955,0.653,343058,640940,150937,105444728,148704365,77867778,776,1070,520,110981,115585,106464,690
India,15/10/2020,0.8,0.955,0.652,334363,633318,142931,105779091,149170609,78047429,764,1073,515,111745,116386,107203,882
India,16/10/2020,,,,325948,626437,135845,106105040,149618606,78256270,740,1033,490,112485,117114,107908,840
India,17/10/2020,,,,317805,619886,128177,106422845,149904340,78481422,722,1014,473,113207,117858,108646,1032
India,18/10/2020,,,,309906,615187,121439,106732752,150335799,78689790,705,1004,461,113913,118590,109287,582
India,19/10/2020,,,,302278,610040,115086,107035031,150873542,78839924,680,975,438,114593,119319,109959,589
India,20/10/2020,,,,294891,602600,108716,107329922,151692614,79109340,663,954,425,115256,119990,110571,714
India,21/10/2020,,,,287736,597610,102607,107617659,151963352,79305309,648,943,416,115905,120672,111149,701
India,22/10/2020,,,,280805,591660,96806,107898464,152530324,79497312,628,910,395,116534,121359,111748,686
India,23/10/2020,,,,274091,586724,91340,108172556,153043324,79701726,610,914,378,117145,122023,112319,655
India,24/10/2020,,,,267587,582462,86596,108440144,153228736,79856364,598,908,358,117743,122680,112897,578
India,25/10/2020,,,,261285,576824,81980,108701429,153653319,79985896,581,870,357,118325,123335,113407,483
India,26/10/2020,,,,255177,568055,77630,108956606,154012440,80175569,561,873,337,118886,123948,113883,485
India,27/10/2020,,,,249257,563766,73097,109205864,154424546,80324857,547,864,314,119434,124623,114378,511
India,28/10/2020,,,,243518,560381,68937,109449383,154827525,80456822,531,835,308,119966,125262,114854,515
India,29/10/2020,,,,237955,555127,65385,109687338,155197009,80550944,517,831,287,120483,125867,115291,562
India,30/10/2020,,,,232560,550036,61724,109919898,155648591,80640287,505,824,279,120989,126504,115733,550
India,31/10/2020,,,,227327,547312,58520,110147226,156083157,80789906,492,824,264,121481,127087,116139,469
India,01/11/2020,,,,222252,541493,55166,110369479,156461129,80929958,480,792,255,121962,127778,116511,491
India,02/11/2020,,,,217329,537555,52284,110586808,156913025,81029831,465,795,240,122427,128345,116848,498
