area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,Total Infections Mean,Total UpperCI Infections,Total LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Total ExpDeaths Mean,Total UpperCI ExpDeaths,Total LowerCI ExpDeaths,Observed Deaths
India,15/03/2020,3.156,3.751,2.634,11476,17104,7653,63089,92784,42739,0,2,0,1,5,0,0
India,16/03/2020,2.629,3.112,2.213,11580,16499,8250,74669,108933,51309,0,2,0,2,6,0,0
India,17/03/2020,2.629,3.112,2.213,14018,20049,9904,88688,128836,61640,0,2,0,3,7,0,1
India,18/03/2020,2.629,3.112,2.213,16698,24048,11706,105386,151956,74053,0,3,0,3,8,1,0
India,19/03/2020,2.629,3.112,2.213,19724,28639,13669,125110,179394,88514,0,3,0,4,9,1,1
India,20/03/2020,2.628,3.112,2.213,23233,33954,15894,148344,211616,105086,1,3,0,6,11,2,0
India,21/03/2020,2.628,3.112,2.213,27355,40391,18435,175699,250432,124528,1,4,0,7,13,3,0
India,22/03/2020,2.628,3.112,2.213,32218,48132,21439,207918,296935,147135,1,4,0,9,16,4,3
India,23/03/2020,1.798,2.096,1.501,25716,36803,18335,233634,333242,166414,2,5,0,11,19,5,2
India,24/03/2020,1.798,2.096,1.5,29855,42955,21189,263490,376109,188670,2,6,0,13,22,7,1
India,25/03/2020,1.798,2.096,1.5,33693,48676,23722,297184,423868,213549,3,7,0,17,26,9,1
India,26/03/2020,1.798,2.096,1.5,37381,54219,26179,334565,477904,240505,3,8,1,20,31,12,5
India,27/03/2020,1.798,2.096,1.5,41166,59847,28408,375732,536220,269823,4,9,1,25,37,15,3
India,28/03/2020,1.798,2.096,1.5,45222,66030,30806,420955,599821,303077,5,10,1,30,43,19,5
India,29/03/2020,1.798,2.096,1.5,49653,73627,33200,470609,671807,337042,6,11,2,36,51,24,3
India,30/03/2020,1.309,1.546,1.059,39308,56547,27987,509917,725077,366596,7,13,3,43,59,30,14
India,31/03/2020,1.309,1.546,1.059,42755,61613,30365,552672,784252,398443,8,14,3,51,68,36,6
India,01/04/2020,1.309,1.546,1.058,45621,65810,32055,598294,848435,432457,9,16,4,61,79,44,6
India,02/04/2020,1.309,1.546,1.058,48049,69525,33337,646344,915552,468286,10,18,5,72,93,54,16
India,03/04/2020,1.309,1.546,1.058,50275,73401,34356,696619,986649,505271,12,20,6,84,107,64,14
India,04/04/2020,1.309,1.546,1.058,52461,76859,35348,749080,1063277,543466,13,23,7,98,123,75,13
India,05/04/2020,1.309,1.546,1.058,54697,80941,36042,803777,1143815,582434,15,25,8,114,142,89,22
India,06/04/2020,1.318,1.548,1.103,56949,82295,40436,860727,1220697,624407,17,27,9,131,162,104,16
India,07/04/2020,1.318,1.548,1.102,59265,86020,41774,919992,1301835,668047,19,30,10,151,184,121,27
India,08/04/2020,1.317,1.548,1.102,61735,89869,43228,981728,1389062,713641,21,33,12,172,208,140,20
India,09/04/2020,1.317,1.548,1.102,64353,94148,44763,1046082,1483143,760915,23,35,13,195,234,161,46
India,10/04/2020,1.317,1.548,1.102,67109,98839,46073,1113191,1583171,812660,25,39,14,221,262,182,22
India,11/04/2020,1.317,1.548,1.102,70001,103677,47499,1183192,1679596,862760,27,42,16,248,293,207,41
India,12/04/2020,1.317,1.548,1.102,73033,109299,48733,1256226,1784443,914850,29,43,17,278,327,234,42
India,13/04/2020,1.391,1.672,1.164,79705,114535,57142,1335931,1900974,974920,31,48,18,310,362,262,27
India,14/04/2020,1.391,1.672,1.164,83148,119913,59438,1419080,2017583,1037673,34,50,20,344,398,292,37
India,15/04/2020,1.391,1.672,1.164,87064,125777,61571,1506144,2143478,1101655,36,53,21,380,440,324,27
India,16/04/2020,1.391,1.672,1.164,91399,132396,64170,1597544,2272175,1170992,38,57,23,419,482,359,26
India,17/04/2020,1.391,1.672,1.164,96083,140406,66648,1693628,2408426,1240227,40,60,24,459,527,396,38
India,18/04/2020,1.391,1.672,1.164,101078,148749,69141,1794706,2550925,1313206,43,63,26,502,574,435,35
India,19/04/2020,1.39,1.672,1.164,106362,157839,71569,1901068,2697802,1390342,45,66,27,548,623,473,38
India,20/04/2020,1.218,1.441,1.01,97251,139865,69368,1998319,2837795,1463734,47,70,29,596,676,518,33
India,21/04/2020,1.218,1.441,1.01,101877,146710,72551,2100197,2987984,1538905,49,73,31,645,729,562,53
India,22/04/2020,1.218,1.441,1.009,105975,152416,74837,2206173,3133305,1616087,52,76,32,698,788,611,36
India,23/04/2020,1.217,1.441,1.009,109684,158078,76600,2315857,3296089,1695250,55,79,34,753,848,660,40
India,24/04/2020,1.217,1.441,1.009,113225,163864,77920,2429082,3453420,1778315,57,83,36,811,912,713,59
India,25/04/2020,1.217,1.441,1.009,116753,169821,79174,2545835,3610187,1861145,60,87,38,872,979,770,44
India,26/04/2020,1.217,1.441,1.009,120344,176946,80155,2666180,3778402,1947114,63,92,39,935,1049,827,56
India,27/04/2020,1.114,1.311,0.916,112657,161455,79887,2778837,3938427,2032910,66,95,42,1002,1122,888,58
India,28/04/2020,1.114,1.311,0.916,115723,166160,81770,2894560,4101430,2117378,69,100,44,1072,1197,954,69
India,29/04/2020,1.114,1.311,0.916,118374,170912,83033,3012935,4267871,2202300,72,104,46,1145,1277,1019,71
India,30/04/2020,1.114,1.311,0.916,120711,175256,83724,3133646,4440093,2295155,76,108,49,1221,1361,1090,75
India,01/05/2020,1.114,1.311,0.916,122887,178842,84429,3256533,4623755,2391249,79,113,51,1300,1444,1163,77
India,02/05/2020,1.114,1.311,0.916,125015,183009,84620,3381549,4792333,2479535,82,116,53,1382,1532,1239,92
