date,bl.crc.estim,bl.crc.low,bl.crc.high,bl.crc.width
2020-10-16T00:00:00Z,7475443.123416413,7466134.155239395,7485309.982270409,19175.827031014487
2020-10-17T00:00:00Z,7540274.109808686,7530884.409348746,7550226.539267869,19342.129919122905
2020-10-18T00:00:00Z,7643854.0742188115,7624911.699584305,7663964.963232498,39053.2636481924
2020-10-19T00:00:00Z,7708255.006309404,7689195.120444482,7728494.428522524,39299.30807804223
2020-10-20T00:00:00Z,7812247.72324173,7783353.943378259,7842974.430042859,59620.48666459974
2020-10-21T00:00:00Z,7876178.370234778,7847134.23885256,7907072.554787621,59938.31593506131
2020-10-22T00:00:00Z,7980543.782981015,7941387.414557698,8022252.2424629815,80864.82790528331
2020-10-23T00:00:00Z,8043965.065465105,8004629.559670165,8085875.775161349,81246.21549118403
2020-10-24T00:00:00Z,8148663.878970498,8098940.904445515,8201713.7284907745,102772.8240452595
2020-10-25T00:00:00Z,8211537.896753548,8161611.156963062,8264820.455206807,103209.29824374523
2020-10-26T00:00:00Z,8316531.6135482425,8255945.505934187,8381275.772755034,125330.26682084706
2020-10-27T00:00:00Z,8378821.669614271,8318011.418194862,8443824.553494269,125813.13529940695
2020-10-28T00:00:00Z,8484072.622230804,8412334.64437576,8560856.897780653,148522.25340489298
2020-10-29T00:00:00Z,8545743.242952053,8473765.071538672,8622807.69909855,149042.62755987793
2020-10-30T00:00:00Z,8651214.622928515,8568044.101503612,8740377.338252584,172333.23674897105
2020-10-31T00:00:00Z,8712231.574672243,8628809.206398388,8801691.26218833,172882.05578994192
2020-11-01T00:00:00Z,8817887.45824722,8723012.032716386,8919759.108424729,196747.07570834272
2020-11-02T00:00:00Z,8878217.760521254,8783083.287471361,8980398.417861491,197315.13039012998
2020-11-03T00:00:00Z,8984023.13113213,8877178.978057936,9098926.0628361,221747.08477816358
2020-11-04T00:00:00Z,9043635.066417009,8936529.162686627,9158854.203395627,222325.04070900008
2020-11-05T00:00:00Z,9149555.83411791,9030487.867228689,9277803.950510945,247316.0832822565
2020-11-06T00:00:00Z,9208418.954536233,9089091.065353591,9336985.569096316,247894.50374272466
2020-11-07T00:00:00Z,9314421.972455531,9182884.01896371,9456320.462832032,273436.4438683223
2020-11-08T00:00:00Z,9372507.103431052,9240715.610855142,9514721.422937306,274005.812082164
2020-11-09T00:00:00Z,9478560.181391278,9334315.135111034,9634405.275286995,300090.14017596096
2020-11-10T00:00:00Z,9535839.422451306,9391351.788216718,9691992.669196658,300640.8809799403
2020-11-11T00:00:00Z,9641911.337876413,9484731.28974074,9811990.08329687,327258.7935561314
2020-11-12T00:00:00Z,9698358.060751481,9540950.946879113,9868732.241301205,327781.2944220919
2020-11-13T00:00:00Z,9804418.566987783,9634084.91361081,9989008.632343428,354923.7187326178
2020-11-14T00:00:00Z,9860007.411162065,9689466.778997842,10044875.12909848,355408.35010063834
2020-11-15T00:00:00Z,9966027.243339932,9782330.774310369,10165396.74261802,383065.9683076516
2020-11-16T00:00:00Z,10020734.109204927,9836855.297585836,10220358.400780648,383503.1031948123
2020-11-17T00:00:00Z,10126684.987768397,9929425.95239429,10341092.328419402,411666.37602511235
2020-11-18T00:00:00Z,10180487.027530782,9983074.810809325,10395121.219688974,412046.4088796489
2020-11-19T00:00:00Z,10286341.659561813,10075329.813815821,10516035.412531355,440705.59871553443
2020-11-20T00:00:00Z,10339217.266054219,10128085.892738918,10569104.856230216,441018.96349129826
2020-11-21T00:00:00Z,10444949.344517373,10220003.978955662,10690168.135813175,470164.1568575129
2020-11-22T00:00:00Z,10496878.138058271,10271851.350849425,10742252.695137894,470401.34428846836
2020-11-23T00:00:00Z,10602462.339090161,10363412.288537135,10863434.762237178,500022.4737000428
2020-11-24T00:00:00Z,10653425.152536027,10414336.190552903,10914510.238312002,500174.04775909893
2020-11-25T00:00:00Z,10758837.130902074,10505520.766707715,11035781.679607442,530260.912899727
2020-11-26T00:00:00Z,10808815.993031627,10555507.577039754,11085825.103470303,530317.5264305491
2020-11-27T00:00:00Z,10914032.375870455,10646297.581557335,11207157.39619308,560859.8146357443
2020-11-28T00:00:00Z,10963010.493237058,10695334.794692779,11256147.01884299,560812.2241502106
2020-11-29T00:00:00Z,11068008.872210335,10785713.003333764,11377512.533507677,591799.5301739126
2020-11-30T00:00:00Z,11115970.609594736,10833789.204328729,11425427.814140389,591638.6098116599
2020-12-01T00:00:00Z,11220729.531557456,10923739.360604823,11546799.81546387,623060.4548590481
2020-12-02T00:00:00Z,11267660.391148785,10970844.198511386,11593621.408020487,622777.2095091008
2020-12-03T00:00:00Z,11372159.347451955,11060350.994606586,11714974.05412893,654623.0595223438
2020-12-04T00:00:00Z,11418045.946880564,11106475.155169453,11760683.79227948,654208.6371100266
2020-12-05T00:00:00Z,11522265.361414975,11195524.212005923,11881992.132303208,686467.9202972855
2020-12-06T00:00:00Z,11567095.410756145,11240659.389741752,11926573.012984412,685913.6232426595
2020-12-07T00:00:00Z,11671016.626842469,11329237.23629485,12047812.98313899,718575.746844139
2020-12-08T00:00:00Z,11714778.904705366,11373376.106061364,12091249.14876228,717873.0427009165
2020-12-09T00:00:00Z,11818384.170932235,11461470.158023344,12212397.567012228,750927.4089888837
2020-12-10T00:00:00Z,11861068.499743747,11504606.346179543,12254674.28645482,750067.9402752761
2020-12-11T00:00:00Z,11964340.954851791,11592204.884066386,12375708.845854368,783503.9617879819
2020-12-12T00:00:00Z,12005938.175440064,11634332.939319441,12416812.49434265,782479.5550232083
2020-12-13T00:00:00Z,12108861.832346056,11721425.086110353,12537711.755145634,816286.6690352801
2020-12-14T00:00:00Z,12149363.777923753,11762540.45013907,12577629.793136548,815089.3429974783
2020-12-15T00:00:00Z,12251923.506975187,11849116.148533227,12698373.173765145,849257.0252319183
2020-12-16T00:00:00Z,12291322.976617608,11889215.126472417,12737094.124927437,847878.9984550197
2020-12-17T00:00:00Z,12393504.488164136,11975265.115842672,12857661.891886855,882396.7760441825
2020-12-18T00:00:00Z,12431795.219872538,12014344.846707359,12895175.320280246,880830.4735728875
2020-12-19T00:00:00Z,12533585.04623678,12099860.63982588,13015548.577103755,915687.937277874
2020-12-20T00:00:00Z,12570761.689672451,12137919.0669489,13051845.063650174,913925.9967012741
2020-12-21T00:00:00Z,12672147.166598756,12222892.926555026,13172005.738956114,949112.812401088
2020-12-22T00:00:00Z,12708205.255568646,12259928.768106453,13207076.85729313,947148.0891866777
2020-12-23T00:00:00Z,12809174.503224546,12344353.683382483,13327007.692032604,982654.0086501203
2020-12-24T00:00:00Z,12844110.427994587,12380366.4030343,13360845.983835261,980479.5808009617
2020-12-25T00:00:00Z,12944652.33159575,12464236.066050537,13480530.517806277,1016294.4517557397
2020-12-26T00:00:00Z,12978463.31110345,12499225.843845109,13513129.467659496,1013903.6238143872
2020-12-27T00:00:00Z,13078567.50122918,12582534.626031129,13632552.025360383,1050017.3993292544
2020-12-28T00:00:00Z,13111251.55526254,12616502.329507384,13663906.035260111,1047403.7057527266
2020-12-29T00:00:00Z,13210908.387925075,12699245.25820237,13783051.711151958,1083806.4529495873
2020-12-30T00:00:00Z,13242464.309330536,12732192.41382907,13813156.0747093,1080963.6608802304
2020-12-31T00:00:00Z,13341664.845857756,12814365.148960019,13932010.717954185,1117645.5689941663
